tournament,date,teamA,teamB,teamA_win
First Stand 2025,2025-03-16,Hanwha Life Esports,Karmine Corp,1
First Stand 2025,2025-03-15,Hanwha Life Esports,Top Esports,1
First Stand 2025,2025-03-15,CTBC Flying Oyster,Karmine Corp,0
First Stand 2025,2025-03-14,Team Liquid,Hanwha Life Esports,0
First Stand 2025,2025-03-14,CTBC Flying Oyster,Top Esports,1
First Stand 2025,2025-03-13,Karmine Corp,Hanwha Life Esports,0
First Stand 2025,2025-03-13,Team Liquid,CTBC Flying Oyster,0
First Stand 2025,2025-03-12,Top Esports,Karmine Corp,0
First Stand 2025,2025-03-12,Hanwha Life Esports,CTBC Flying Oyster,1
First Stand 2025,2025-03-11,Top Esports,Team Liquid,1
First Stand 2025,2025-03-11,CTBC Flying Oyster,Karmine Corp,1
First Stand 2025,2025-03-10,Hanwha Life Esports,Top Esports,1
First Stand 2025,2025-03-10,Karmine Corp,Team Liquid,0
