tournament;match_id;game_in_series;teamA;teamB;win;date
LPL 2025 Split 2 Placements;1;1;Ultra Prime;Team WE;1;2025-03-31
LPL 2025 Split 2 Placements;1;2;Ultra Prime;Team WE;0;2025-03-31
LPL 2025 Split 2 Placements;1;3;Ultra Prime;Team WE;0;2025-03-31
LPL 2025 Split 2 Placements;2;1;Team WE;LGD Gaming;1;2025-03-31
LPL 2025 Split 2 Placements;2;2;Team WE;LGD Gaming;1;2025-03-31
LPL 2025 Split 2 Placements;3;1;Funplus Phoenix;Ultra Prime;1;2025-03-30
LPL 2025 Split 2 Placements;3;2;Funplus Phoenix;Ultra Prime;0;2025-03-30
LPL 2025 Split 2 Placements;3;3;Funplus Phoenix;Ultra Prime;1;2025-03-30
LPL 2025 Split 2 Placements;4;1;Team WE;Ultra Prime;0;2025-03-30
LPL 2025 Split 2 Placements;5;1;LGD Gaming;Funplus Phoenix;0;2025-03-30
LPL 2025 Split 2 Placements;6;1;Funplus Phoenix;Ninjas in Pyjamas;1;2025-03-29
LPL 2025 Split 2 Placements;7;1;Top Esports;OMG;1;2025-03-29
LPL 2025 Split 2 Placements;8;1;Funplus Phoenix;OMG;0;2025-03-29
LPL 2025 Split 2 Placements;9;1;Ninjas in Pyjamas;Top Esports;0;2025-03-29
LPL 2025 Split 2 Placements;10;1;Top Esports;Funplus Phoenix;1;2025-03-29
LPL 2025 Split 2 Placements;11;1;OMG;Ninjas in Pyjamas;0;2025-03-29
LPL 2025 Split 2 Placements;12;1;Royal Never Give Up;Ultra Prime;0;2025-03-28
LPL 2025 Split 2 Placements;13;1;Ultra Prime;TT;0;2025-03-28
LPL 2025 Split 2 Placements;14;1;Anyone s Legend;Royal Never Give Up;1;2025-03-28
LPL 2025 Split 2 Placements;15;1;Ultra Prime;Royal Never Give Up;0;2025-03-28
LPL 2025 Split 2 Placements;16;1;TT;Anyone s Legend;0;2025-03-28
LPL 2025 Split 2 Placements;17;1;Anyone s Legend;Ultra Prime;1;2025-03-28
LPL 2025 Split 2 Placements;18;1;Royal Never Give Up;TT;0;2025-03-28
LPL 2025 Split 2 Placements;19;1;LNG Esports;Invictus Gaming;0;2025-03-27
LPL 2025 Split 2 Placements;20;1;JD Gaming;LGD Gaming;1;2025-03-27
LPL 2025 Split 2 Placements;21;1;LNG Esports;LGD Gaming;0;2025-03-27
LPL 2025 Split 2 Placements;22;1;Invictus Gaming;JD Gaming;1;2025-03-27
LPL 2025 Split 2 Placements;23;1;JD Gaming;LNG Esports;1;2025-03-27
LPL 2025 Split 2 Placements;24;1;LGD Gaming;Invictus Gaming;0;2025-03-27
LPL 2025 Split 2 Placements;25;1;Edward Gaming;Team WE;0;2025-03-26
LPL 2025 Split 2 Placements;26;1;Team WE;Weibo Gaming;0;2025-03-26
LPL 2025 Split 2 Placements;27;1;Bilibili Gaming;Edward Gaming;1;2025-03-26
LPL 2025 Split 2 Placements;28;1;Team WE;Edward Gaming;1;2025-03-26
LPL 2025 Split 2 Placements;29;1;Weibo Gaming;Bilibili Gaming;1;2025-03-26
LPL 2025 Split 2 Placements;30;1;Bilibili Gaming;Team WE;1;2025-03-26
LPL 2025 Split 2 Placements;31;1;Edward Gaming;Weibo Gaming;0;2025-03-26
LPL 2025 Split 2 Placements;32;1;OMG;Top Esports;0;2025-03-25
LPL 2025 Split 2 Placements;33;1;Ninjas in Pyjamas;Funplus Phoenix;1;2025-03-25
LPL 2025 Split 2 Placements;34;1;Top Esports;Ninjas in Pyjamas;1;2025-03-25
LPL 2025 Split 2 Placements;35;1;OMG;Funplus Phoenix;0;2025-03-25
LPL 2025 Split 2 Placements;36;1;Funplus Phoenix;Top Esports;0;2025-03-25
LPL 2025 Split 2 Placements;37;1;Ninjas in Pyjamas;OMG;1;2025-03-25
LPL 2025 Split 2 Placements;38;1;Royal Never Give Up;Anyone s Legend;1;2025-03-24
LPL 2025 Split 2 Placements;39;1;TT;Ultra Prime;0;2025-03-24
LPL 2025 Split 2 Placements;40;1;Anyone s Legend;TT;1;2025-03-24
LPL 2025 Split 2 Placements;41;1;Royal Never Give Up;Ultra Prime;0;2025-03-24
LPL 2025 Split 2 Placements;42;1;Ultra Prime;Anyone s Legend;0;2025-03-24
LPL 2025 Split 2 Placements;43;1;TT;Royal Never Give Up;1;2025-03-24
LPL 2025 Split 2 Placements;44;1;LGD Gaming;JD Gaming;0;2025-03-23
LPL 2025 Split 2 Placements;45;1;Invictus Gaming;LNG Esports;1;2025-03-23
LPL 2025 Split 2 Placements;46;1;JD Gaming;Invictus Gaming;0;2025-03-23
LPL 2025 Split 2 Placements;47;1;LGD Gaming;LNG Esports;1;2025-03-23
LPL 2025 Split 2 Placements;48;1;LNG Esports;JD Gaming;0;2025-03-23
LPL 2025 Split 2 Placements;49;1;Invictus Gaming;LGD Gaming;1;2025-03-23
LPL 2025 Split 2 Placements;50;1;Edward Gaming;Bilibili Gaming;0;2025-03-22
LPL 2025 Split 2 Placements;51;1;Weibo Gaming;Team WE;1;2025-03-22
LPL 2025 Split 2 Placements;52;1;Bilibili Gaming;Weibo Gaming;1;2025-03-22
LPL 2025 Split 2 Placements;53;1;Edward Gaming;Team WE;1;2025-03-22
LPL 2025 Split 2 Placements;54;1;Team WE;Bilibili Gaming;0;2025-03-22
LPL 2025 Split 2 Placements;55;1;Weibo Gaming;Edward Gaming;1;2025-03-22
LPL 2025 Split 2;1;1;TT;Ninjas in Pyjamas;1;2025-05-22
LPL 2025 Split 2;1;2;TT;Ninjas in Pyjamas;1;2025-05-22
LPL 2025 Split 2;2;1;Team WE;Weibo Gaming;1;2025-05-22
LPL 2025 Split 2;2;2;Team WE;Weibo Gaming;1;2025-05-22
LPL 2025 Split 2;3;1;Bilibili Gaming;Invictus Gaming;1;2025-05-21
LPL 2025 Split 2;3;2;Bilibili Gaming;Invictus Gaming;0;2025-05-21
LPL 2025 Split 2;3;3;Bilibili Gaming;Invictus Gaming;1;2025-05-21
LPL 2025 Split 2;4;1;Anyone s Legend;JD Gaming;0;2025-05-21
LPL 2025 Split 2;5;1;Bilibili Gaming;Top Esports;1;2025-05-20
LPL 2025 Split 2;5;2;Bilibili Gaming;Top Esports;1;2025-05-20
LPL 2025 Split 2;6;1;Invictus Gaming;Funplus Phoenix;1;2025-05-20
LPL 2025 Split 2;6;2;Invictus Gaming;Funplus Phoenix;1;2025-05-20
LPL 2025 Split 2;7;1;JD Gaming;Ninjas in Pyjamas;1;2025-05-19
LPL 2025 Split 2;7;2;JD Gaming;Ninjas in Pyjamas;1;2025-05-19
LPL 2025 Split 2;8;1;Weibo Gaming;Funplus Phoenix;1;2025-05-19
LPL 2025 Split 2;8;2;Weibo Gaming;Funplus Phoenix;1;2025-05-19
LPL 2025 Split 2;9;1;Team WE;Anyone s Legend;0;2025-05-18
LPL 2025 Split 2;10;1;TT;Top Esports;1;2025-05-18
LPL 2025 Split 2;10;2;TT;Top Esports;0;2025-05-18
LPL 2025 Split 2;11;1;JD Gaming;Bilibili Gaming;1;2025-05-17
LPL 2025 Split 2;11;2;JD Gaming;Bilibili Gaming;1;2025-05-17
LPL 2025 Split 2;12;1;Weibo Gaming;Top Esports;0;2025-05-17
LPL 2025 Split 2;13;1;Invictus Gaming;Ninjas in Pyjamas;1;2025-05-16
LPL 2025 Split 2;13;2;Invictus Gaming;Ninjas in Pyjamas;1;2025-05-16
LPL 2025 Split 2;14;1;Funplus Phoenix;JD Gaming;0;2025-05-16
LPL 2025 Split 2;15;1;Team WE;TT;1;2025-05-15
LPL 2025 Split 2;15;2;Team WE;TT;1;2025-05-15
LPL 2025 Split 2;16;1;Anyone s Legend;Ninjas in Pyjamas;1;2025-05-15
LPL 2025 Split 2;16;2;Anyone s Legend;Ninjas in Pyjamas;0;2025-05-15
LPL 2025 Split 2;16;3;Anyone s Legend;Ninjas in Pyjamas;1;2025-05-15
LPL 2025 Split 2;17;1;Top Esports;Team WE;1;2025-05-14
LPL 2025 Split 2;17;2;Top Esports;Team WE;1;2025-05-14
LPL 2025 Split 2;18;1;Weibo Gaming;JD Gaming;0;2025-05-14
LPL 2025 Split 2;19;1;Invictus Gaming;JD Gaming;1;2025-05-13
LPL 2025 Split 2;19;2;Invictus Gaming;JD Gaming;1;2025-05-13
LPL 2025 Split 2;20;1;Bilibili Gaming;Ninjas in Pyjamas;1;2025-05-13
LPL 2025 Split 2;20;2;Bilibili Gaming;Ninjas in Pyjamas;0;2025-05-13
LPL 2025 Split 2;20;3;Bilibili Gaming;Ninjas in Pyjamas;1;2025-05-13
LPL 2025 Split 2;21;1;Ninjas in Pyjamas;Funplus Phoenix;1;2025-05-12
LPL 2025 Split 2;21;2;Ninjas in Pyjamas;Funplus Phoenix;1;2025-05-12
LPL 2025 Split 2;22;1;TT;Anyone s Legend;0;2025-05-12
LPL 2025 Split 2;23;1;Top Esports;JD Gaming;1;2025-05-11
LPL 2025 Split 2;23;2;Top Esports;JD Gaming;1;2025-05-11
LPL 2025 Split 2;24;1;Weibo Gaming;TT;1;2025-05-11
