tournament;date;teamA;teamB;teamA_win
LPL 2025 Split 3;2025-08-12;Weibo Gaming;Team WE;1
LPL 2025 Split 3;2025-08-12;Ninjas in Pyjamas;LGD Gaming;1
LPL 2025 Split 3;2025-08-11;JD Gaming;FunPlus Phoenix;1
LPL 2025 Split 3;2025-08-11;Ultra Prime;Ninjas in Pyjamas;0
LPL 2025 Split 3;2025-08-10;Bilibili Gaming;Team WE;1
LPL 2025 Split 3;2025-08-10;ThunderTalk Gaming;EDward Gaming;0
LPL 2025 Split 3;2025-08-09;Invictus Gaming;JD Gaming;1
LPL 2025 Split 3;2025-08-09;Top Esports;Weibo Gaming;1
LPL 2025 Split 3;2025-08-09;Team WE;Bilibili Gaming;0
LPL 2025 Split 3;2025-08-08;Anyone's Legend;FunPlus Phoenix;1
LPL 2025 Split 3;2025-08-08;Ultra Prime;LNG Esports;1
LPL 2025 Split 3;2025-08-07;ThunderTalk Gaming;Ninjas in Pyjamas;0
LPL 2025 Split 3;2025-08-07;LNG Esports;LGD Gaming;1
LPL 2025 Split 3;2025-08-06;Invictus Gaming;Anyone's Legend;1
LPL 2025 Split 3;2025-08-06;Bilibili Gaming;JD Gaming;1
LPL 2025 Split 3;2025-08-05;Top Esports;Anyone's Legend;1
LPL 2025 Split 3;2025-08-05;Ninjas in Pyjamas;ThunderTalk Gaming;1
LPL 2025 Split 3;2025-08-04;Team WE;FunPlus Phoenix;1
LPL 2025 Split 3;2025-08-03;Bilibili Gaming;Top Esports;1
LPL 2025 Split 3;2025-08-03;LNG Esports;EDward Gaming;0
LPL 2025 Split 3;2025-08-02;JD Gaming;Anyone's Legend;0
LPL 2025 Split 3;2025-08-02;LNG Esports;Ultra Prime;0
LPL 2025 Split 3;2025-08-02;ThunderTalk Gaming;LGD Gaming;0
LPL 2025 Split 3;2025-08-01;Invictus Gaming;Weibo Gaming;1
LPL 2025 Split 3;2025-08-01;FunPlus Phoenix;JD Gaming;0
LPL 2025 Split 3;2025-07-31;Weibo Gaming;Bilibili Gaming;0
LPL 2025 Split 3;2025-07-31;Top Esports;Team WE;1
LPL 2025 Split 3;2025-07-30;Anyone's Legend;Team WE;1
LPL 2025 Split 3;2025-07-29;FunPlus Phoenix;Invictus Gaming;1
LPL 2025 Split 3;2025-07-29;Ultra Prime;LGD Gaming;0
LPL 2025 Split 3;2025-07-28;Top Esports;JD Gaming;1
LPL 2025 Split 3;2025-07-28;LGD Gaming;EDward Gaming;0
LPL 2025 Split 3;2025-07-27;Anyone's Legend;Weibo Gaming;0
LPL 2025 Split 3;2025-07-27;Bilibili Gaming;FunPlus Phoenix;1
LPL 2025 Split 3;2025-07-26;JD Gaming;Team WE;1
LPL 2025 Split 3;2025-07-26;Anyone's Legend;Bilibili Gaming;0
LPL 2025 Split 3;2025-07-26;Ninjas in Pyjamas;Ultra Prime;1
LPL 2025 Split 3;2025-07-25;LGD Gaming;LNG Esports;1
LPL 2025 Split 3;2025-07-25;EDward Gaming;Ninjas in Pyjamas;1
LPL 2025 Split 3;2025-07-24;ThunderTalk Gaming;LNG Esports;1
LPL 2025 Split 3;2025-07-24;JD Gaming;Invictus Gaming;0
LPL 2025 Split 3;2025-07-23;Team WE;Weibo Gaming;0
LPL 2025 Split 3;2025-07-23;FunPlus Phoenix;Top Esports;0
LPL 2025 Split 3;2025-07-22;Invictus Gaming;Team WE;1
LPL 2025 Split 3;2025-07-22;LGD Gaming;Ninjas in Pyjamas;0
LPL 2025 Split 3;2025-07-21;LNG Esports;Ninjas in Pyjamas;0
LPL 2025 Split 3;2025-07-21;Ultra Prime;ThunderTalk Gaming;0
LPL 2025 Split 3;2025-07-20;Weibo Gaming;Top Esports;0
LPL 2025 Split 3;2025-07-20;EDward Gaming;ThunderTalk Gaming;1
LPL 2025 Split 3;2025-07-19;Top Esports;Invictus Gaming;1
LPL 2025 Split 3;2025-07-19;Weibo Gaming;FunPlus Phoenix;1
LPL 2025 Split 3;2025-07-19;EDward Gaming;Ultra Prime;1
LEC 2025 Summer Season;2025-08-10;Karmine Corp;Movistar KOI;1
LEC 2025 Summer Season;2025-08-10;Fnatic;Team BDS;1
LEC 2025 Summer Season;2025-08-09;Movistar KOI;GiantX;1
LEC 2025 Summer Season;2025-08-09;G2 Esports;Team Heretics;1
LEC 2025 Summer Season;2025-08-04;GiantX;Team Vitality;1
LEC 2025 Summer Season;2025-08-04;SK Gaming;Fnatic;0
LEC 2025 Summer Season;2025-08-03;GiantX;Karmine Corp;0
LEC 2025 Summer Season;2025-08-03;Team BDS;SK Gaming;1
LEC 2025 Summer Season;2025-08-02;Team Heretics;Fnatic;0
LEC 2025 Summer Season;2025-08-02;Natus Vincere;Karmine Corp;0
LCK 2025 Rounds 3-5;2025-08-10;DN Freecs;Dplus KIA;0
LCK 2025 Rounds 3-5;2025-08-10;KT Rolster;Gen.G;0
