tournament;match_id;game_in_series;teamA;teamB;win;date
LPL 2025 Split 1;1;1;Top Esports;LGD Gaming;1;2025-02-16
LPL 2025 Split 1;1;2;Top Esports;LGD Gaming;1;2025-02-16
LPL 2025 Split 1;1;3;Top Esports;LGD Gaming;1;2025-02-16
LPL 2025 Split 1;2;1;Funplus Phoenix;Invictus Gaming;0;2025-02-15
LPL 2025 Split 1;3;1;Bilibili Gaming;TT;1;2025-02-14
LPL 2025 Split 1;3;2;Bilibili Gaming;TT;1;2025-02-14
LPL 2025 Split 1;3;3;Bilibili Gaming;TT;0;2025-02-14
LPL 2025 Split 1;4;1;Royal Never Give Up;Ninjas in Pyjamas;0;2025-02-13
LPL 2025 Split 1;5;1;Ultra Prime;OMG;1;2025-02-12
LPL 2025 Split 1;5;2;Ultra Prime;OMG;1;2025-02-12
LPL 2025 Split 1;5;3;Ultra Prime;OMG;0;2025-02-12
LPL 2025 Split 1;5;4;Ultra Prime;OMG;0;2025-02-12
LPL 2025 Split 1;6;1;Edward Gaming;LNG Esports;1;2025-02-11
LPL 2025 Split 1;6;2;Edward Gaming;LNG Esports;1;2025-02-11
LPL 2025 Split 1;6;3;Edward Gaming;LNG Esports;1;2025-02-11
LPL 2025 Split 1;7;1;Team WE;Anyone s Legend;1;2025-02-10
LPL 2025 Split 1;7;2;Team WE;Anyone s Legend;0;2025-02-10
LPL 2025 Split 1;8;1;JD Gaming;Weibo Gaming;1;2025-02-09
LPL 2025 Split 1;8;2;JD Gaming;Weibo Gaming;0;2025-02-09
LPL 2025 Split 1;8;3;JD Gaming;Weibo Gaming;1;2025-02-09
LPL 2025 Split 1;8;4;JD Gaming;Weibo Gaming;1;2025-02-09
LPL 2025 Split 1;9;1;Ninjas in Pyjamas;Funplus Phoenix;1;2025-02-08
LPL 2025 Split 1;9;2;Ninjas in Pyjamas;Funplus Phoenix;1;2025-02-08
LPL 2025 Split 1;9;3;Ninjas in Pyjamas;Funplus Phoenix;1;2025-02-08
LPL 2025 Split 1;10;1;Invictus Gaming;Royal Never Give Up;1;2025-01-25
LPL 2025 Split 1;10;2;Invictus Gaming;Royal Never Give Up;1;2025-01-25
LPL 2025 Split 1;10;3;Invictus Gaming;Royal Never Give Up;1;2025-01-25
LPL 2025 Split 1;11;1;Bilibili Gaming;LNG Esports;1;2025-01-25
LPL 2025 Split 1;11;2;Bilibili Gaming;LNG Esports;1;2025-01-25
LPL 2025 Split 1;11;3;Bilibili Gaming;LNG Esports;1;2025-01-25
LPL 2025 Split 1;12;1;Top Esports;Anyone s Legend;1;2025-01-24
LPL 2025 Split 1;12;2;Top Esports;Anyone s Legend;0;2025-01-24
LPL 2025 Split 1;12;3;Top Esports;Anyone s Legend;0;2025-01-24
LPL 2025 Split 1;13;1;OMG;JD Gaming;1;2025-01-23
LPL 2025 Split 1;13;2;OMG;JD Gaming;0;2025-01-23
LPL 2025 Split 1;13;3;OMG;JD Gaming;1;2025-01-23
LPL 2025 Split 1;13;4;OMG;JD Gaming;0;2025-01-23
LPL 2025 Split 1;13;5;OMG;JD Gaming;0;2025-01-23
LPL 2025 Split 1;14;1;LGD Gaming;Team WE;1;2025-01-22
LPL 2025 Split 1;14;2;LGD Gaming;Team WE;1;2025-01-22
LPL 2025 Split 1;14;3;LGD Gaming;Team WE;1;2025-01-22
LPL 2025 Split 1;15;1;Edward Gaming;TT;1;2025-01-21
LPL 2025 Split 1;15;2;Edward Gaming;TT;0;2025-01-21
LPL 2025 Split 1;15;3;Edward Gaming;TT;0;2025-01-21
LPL 2025 Split 1;15;4;Edward Gaming;TT;0;2025-01-21
LPL 2025 Split 1;16;1;JD Gaming;Ultra Prime;1;2025-01-20
LPL 2025 Split 1;16;2;JD Gaming;Ultra Prime;1;2025-01-20
LPL 2025 Split 1;16;3;JD Gaming;Ultra Prime;1;2025-01-20
LPL 2025 Split 1;17;1;Invictus Gaming;Ninjas in Pyjamas;1;2025-01-19
LPL 2025 Split 1;17;2;Invictus Gaming;Ninjas in Pyjamas;0;2025-01-19
LPL 2025 Split 1;17;3;Invictus Gaming;Ninjas in Pyjamas;0;2025-01-19
LPL 2025 Split 1;17;4;Invictus Gaming;Ninjas in Pyjamas;0;2025-01-19
LPL 2025 Split 1;18;1;Top Esports;Team WE;1;2025-01-18
LPL 2025 Split 1;18;2;Top Esports;Team WE;1;2025-01-18
LPL 2025 Split 1;18;3;Top Esports;Team WE;1;2025-01-18
LPL 2025 Split 1;19;1;Edward Gaming;Bilibili Gaming;0;2025-01-17
LPL 2025 Split 1;20;1;LGD Gaming;Anyone s Legend;0;2025-01-16
LPL 2025 Split 1;21;1;Ultra Prime;Weibo Gaming;1;2025-01-15
LPL 2025 Split 1;21;2;Ultra Prime;Weibo Gaming;0;2025-01-15
LPL 2025 Split 1;21;3;Ultra Prime;Weibo Gaming;0;2025-01-15
LPL 2025 Split 1;22;1;Royal Never Give Up;Funplus Phoenix;1;2025-01-14
LPL 2025 Split 1;22;2;Royal Never Give Up;Funplus Phoenix;1;2025-01-14
LPL 2025 Split 1;22;3;Royal Never Give Up;Funplus Phoenix;1;2025-01-14
LPL 2025 Split 1;23;1;LNG Esports;TT;1;2025-01-13
LPL 2025 Split 1;23;2;LNG Esports;TT;0;2025-01-13
LPL 2025 Split 1;23;3;LNG Esports;TT;0;2025-01-13
LPL 2025 Split 1;23;4;LNG Esports;TT;0;2025-01-13
LPL 2025 Split 1;24;1;Weibo Gaming;OMG;1;2025-01-12
LPL 2025 Split 1;24;2;Weibo Gaming;OMG;1;2025-01-12
LPL 2025 Split 1;24;3;Weibo Gaming;OMG;1;2025-01-12
LPL 2025 Split 1 Playoffs;1;1;Top Esports;Anyone s Legend;1;2025-03-01
LPL 2025 Split 1 Playoffs;1;2;Top Esports;Anyone s Legend;0;2025-03-01
LPL 2025 Split 1 Playoffs;1;3;Top Esports;Anyone s Legend;1;2025-03-01
LPL 2025 Split 1 Playoffs;1;4;Top Esports;Anyone s Legend;1;2025-03-01
LPL 2025 Split 1 Playoffs;2;1;JD Gaming;Top Esports;1;2025-02-27
LPL 2025 Split 1 Playoffs;2;2;JD Gaming;Top Esports;0;2025-02-27
LPL 2025 Split 1 Playoffs;2;3;JD Gaming;Top Esports;0;2025-02-27
LPL 2025 Split 1 Playoffs;2;4;JD Gaming;Top Esports;0;2025-02-27
LPL 2025 Split 1 Playoffs;3;1;Bilibili Gaming;Top Esports;1;2025-02-26
LPL 2025 Split 1 Playoffs;3;2;Bilibili Gaming;Top Esports;0;2025-02-26
LPL 2025 Split 1 Playoffs;3;3;Bilibili Gaming;Top Esports;0;2025-02-26
LPL 2025 Split 1 Playoffs;3;4;Bilibili Gaming;Top Esports;0;2025-02-26
LPL 2025 Split 1 Playoffs;4;1;JD Gaming;Anyone s Legend;1;2025-02-25
LPL 2025 Split 1 Playoffs;4;2;JD Gaming;Anyone s Legend;0;2025-02-25
LPL 2025 Split 1 Playoffs;4;3;JD Gaming;Anyone s Legend;1;2025-02-25
LPL 2025 Split 1 Playoffs;4;4;JD Gaming;Anyone s Legend;0;2025-02-25
LPL 2025 Split 1 Playoffs;5;1;Ninjas in Pyjamas;Top Esports;1;2025-02-24
LPL 2025 Split 1 Playoffs;5;2;Ninjas in Pyjamas;Top Esports;0;2025-02-24
LPL 2025 Split 1 Playoffs;5;3;Ninjas in Pyjamas;Top Esports;0;2025-02-24
LPL 2025 Split 1 Playoffs;5;4;Ninjas in Pyjamas;Top Esports;0;2025-02-24
LPL 2025 Split 1 Playoffs;6;1;Bilibili Gaming;TT;1;2025-02-24
LPL 2025 Split 1 Playoffs;6;2;Bilibili Gaming;TT;1;2025-02-24
LPL 2025 Split 1 Playoffs;6;3;Bilibili Gaming;TT;1;2025-02-24
LPL 2025 Split 1 Playoffs;7;1;Invictus Gaming;Top Esports;1;2025-02-23
LPL 2025 Split 1 Playoffs;7;2;Invictus Gaming;Top Esports;0;2025-02-23
LPL 2025 Split 1 Playoffs;8;1;Weibo Gaming;Bilibili Gaming;1;2025-02-23
LPL 2025 Split 1 Playoffs;8;2;Weibo Gaming;Bilibili Gaming;0;2025-02-23
LPL 2025 Split 1 Playoffs;8;3;Weibo Gaming;Bilibili Gaming;0;2025-02-23
LPL 2025 Split 1 Playoffs;9;1;Ninjas in Pyjamas;Anyone s Legend;1;2025-02-22
LPL 2025 Split 1 Playoffs;9;2;Ninjas in Pyjamas;Anyone s Legend;0;2025-02-22
LPL 2025 Split 1 Playoffs;9;3;Ninjas in Pyjamas;Anyone s Legend;1;2025-02-22
LPL 2025 Split 1 Playoffs;9;4;Ninjas in Pyjamas;Anyone s Legend;0;2025-02-22
LPL 2025 Split 1 Playoffs;9;5;Ninjas in Pyjamas;Anyone s Legend;0;2025-02-22
LPL 2025 Split 1 Playoffs;10;1;JD Gaming;TT;1;2025-02-22
LPL 2025 Split 1 Playoffs;10;2;JD Gaming;TT;0;2025-02-22
LPL 2025 Split 1 Playoffs;10;3;JD Gaming;TT;1;2025-02-22
LPL 2025 Split 1 Playoffs;10;4;JD Gaming;TT;1;2025-02-22
LEC Winter 2025;1;1;SK Gaming;Fnatic;0;2025-02-03
LEC Winter 2025;2;1;G2 Esports;Team Heretics;1;2025-02-03
LEC Winter 2025;3;1;Karmine Corp;Team BDS;0;2025-02-03
LEC Winter 2025;4;1;Movistar KOI;Rogue;1;2025-02-03
LEC Winter 2025;5;1;Team Vitality;GIANTX;1;2025-02-03
LEC Winter 2025;6;1;G2 Esports;Movistar KOI;1;2025-02-02
LEC Winter 2025;7;1;Team Heretics;Team Vitality;0;2025-02-02
LEC Winter 2025;8;1;Fnatic;Karmine Corp;1;2025-02-02
LEC Winter 2025;9;1;Team BDS;GIANTX;0;2025-02-02
LEC Winter 2025;10;1;Rogue;SK Gaming;0;2025-02-02
LEC Winter 2025;11;1;Team Vitality;Karmine Corp;0;2025-02-01
LEC Winter 2025;12;1;Team Heretics;Movistar KOI;1;2025-02-01
LEC Winter 2025;13;1;Rogue;G2 Esports;0;2025-02-01
LEC Winter 2025;14;1;GIANTX;Fnatic;0;2025-02-01
LEC Winter 2025;15;1;SK Gaming;Team BDS;0;2025-02-01
LEC Winter 2025;16;1;SK Gaming;Movistar KOI;0;2025-01-27
LEC Winter 2025;17;1;Karmine Corp;Team Heretics;1;2025-01-27
LEC Winter 2025;18;1;G2 Esports;GIANTX;1;2025-01-27
LEC Winter 2025;19;1;Fnatic;Team BDS;1;2025-01-27
LEC Winter 2025;20;1;Team Vitality;Rogue;1;2025-01-27
LEC Winter 2025;21;1;Team BDS;Movistar KOI;0;2025-01-26
LEC Winter 2025;22;1;Karmine Corp;Rogue;1;2025-01-26
LEC Winter 2025;23;1;Fnatic;G2 Esports;1;2025-01-26
LEC Winter 2025;24;1;SK Gaming;Team Vitality;0;2025-01-26
LEC Winter 2025;25;1;GIANTX;Team Heretics;1;2025-01-26
LEC Winter 2025;26;1;Karmine Corp;SK Gaming;1;2025-01-25
LEC Winter 2025;27;1;Team Vitality;G2 Esports;0;2025-01-25
LEC Winter 2025;28;1;GIANTX;Movistar KOI;0;2025-01-25
LEC Winter 2025;29;1;Team BDS;Team Heretics;0;2025-01-25
LEC Winter 2025;30;1;Rogue;Fnatic;0;2025-01-25
LEC Winter 2025;31;1;GIANTX;Karmine Corp;1;2025-01-20
LEC Winter 2025;32;1;G2 Esports;SK Gaming;1;2025-01-20
LEC Winter 2025;33;1;Movistar KOI;Team Vitality;1;2025-01-20
LEC Winter 2025;34;1;Team Heretics;Fnatic;0;2025-01-20
LEC Winter 2025;35;1;Team BDS;Rogue;1;2025-01-20
LEC Winter 2025;36;1;Fnatic;Team Vitality;1;2025-01-19
LEC Winter 2025;37;1;G2 Esports;Team BDS;0;2025-01-19
LEC Winter 2025;38;1;Movistar KOI;Karmine Corp;0;2025-01-19
LEC Winter 2025;39;1;Rogue;GIANTX;0;2025-01-19
LEC Winter 2025;40;1;Team Heretics;SK Gaming;1;2025-01-19
LEC Winter 2025;41;1;Karmine Corp;G2 Esports;1;2025-01-18
LEC Winter 2025;42;1;Movistar KOI;Fnatic;1;2025-01-18
LEC Winter 2025;43;1;GIANTX;SK Gaming;1;2025-01-18
LEC Winter 2025;44;1;Team Vitality;Team BDS;1;2025-01-18
LEC Winter 2025;45;1;Team Heretics;Rogue;0;2025-01-18
LEC 2025 Winter Playoffs;1;1;G2 Esports;Karmine Corp;0;2025-03-02
LEC 2025 Winter Playoffs;2;1;Karmine Corp;Fnatic;1;2025-03-01
LEC 2025 Winter Playoffs;2;2;Karmine Corp;Fnatic;1;2025-03-01
LEC 2025 Winter Playoffs;2;3;Karmine Corp;Fnatic;0;2025-03-01
LEC 2025 Winter Playoffs;2;4;Karmine Corp;Fnatic;0;2025-03-01
LEC 2025 Winter Playoffs;2;5;Karmine Corp;Fnatic;1;2025-03-01
LEC 2025 Winter Playoffs;3;1;Fnatic;Movistar KOI;1;2025-02-28
LEC 2025 Winter Playoffs;3;2;Fnatic;Movistar KOI;1;2025-02-28
LEC 2025 Winter Playoffs;3;3;Fnatic;Movistar KOI;0;2025-02-28
LEC 2025 Winter Playoffs;3;4;Fnatic;Movistar KOI;1;2025-02-28
LEC 2025 Winter Playoffs;4;1;Karmine Corp;G2 Esports;1;2025-02-24
LEC 2025 Winter Playoffs;4;2;Karmine Corp;G2 Esports;0;2025-02-24
LEC 2025 Winter Playoffs;4;3;Karmine Corp;G2 Esports;0;2025-02-24
LEC 2025 Winter Playoffs;5;1;Movistar KOI;GIANTX;1;2025-02-23
LEC 2025 Winter Playoffs;5;2;Movistar KOI;GIANTX;1;2025-02-23
LEC 2025 Winter Playoffs;6;1;Fnatic;Team BDS;1;2025-02-23
LEC 2025 Winter Playoffs;6;2;Fnatic;Team BDS;0;2025-02-23
LEC 2025 Winter Playoffs;6;3;Fnatic;Team BDS;1;2025-02-23
LEC 2025 Winter Playoffs;7;1;Team Vitality;Team BDS;1;2025-02-22
LEC 2025 Winter Playoffs;7;2;Team Vitality;Team BDS;0;2025-02-22
LEC 2025 Winter Playoffs;8;1;GIANTX;Team Heretics;1;2025-02-22
LEC 2025 Winter Playoffs;8;2;GIANTX;Team Heretics;0;2025-02-22
LEC 2025 Winter Playoffs;8;3;GIANTX;Team Heretics;1;2025-02-22
LEC 2025 Winter Playoffs;9;1;Karmine Corp;Movistar KOI;1;2025-02-17
LEC 2025 Winter Playoffs;9;2;Karmine Corp;Movistar KOI;1;2025-02-17
LEC 2025 Winter Playoffs;10;1;Fnatic;G2 Esports;0;2025-02-17
LEC 2025 Winter Playoffs;11;1;Karmine Corp;Team Vitality;1;2025-02-16
LEC 2025 Winter Playoffs;11;2;Karmine Corp;Team Vitality;1;2025-02-16
LEC 2025 Winter Playoffs;12;1;Movistar KOI;Team BDS;1;2025-02-16
LEC 2025 Winter Playoffs;12;2;Movistar KOI;Team BDS;1;2025-02-16
LEC 2025 Winter Playoffs;13;1;G2 Esports;GIANTX;1;2025-02-15
LEC 2025 Winter Playoffs;13;2;G2 Esports;GIANTX;1;2025-02-15
LEC 2025 Winter Playoffs;14;1;Fnatic;Team Heretics;1;2025-02-15
LEC 2025 Winter Playoffs;14;2;Fnatic;Team Heretics;1;2025-02-15
