tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
Esports World Cup 2025;2025-07-16;Cloud9;2;36.7;0.25;0.75;-1.82;-0.10800000000000001;35.2;-35.2;-1677;0.5;0.0;0.0;2.0;0.0;0.5;1.0;0.5;0.0;0.0;0.0;0.517;0.475;3.12;1.02;1.56;0.0
Esports World Cup 2025;2025-07-16;CTBC Flying Oyster;2;28.4;1.1;1.08;0.42;-0.013000000000000001;72.3;-22.3;720;0.5;0.5;0.5;3.5;1.0;0.17;1.0;0.75;;0.5;0.5;0.489;0.512;3.76;1.46;1.27;0.5
Esports World Cup 2025;2025-07-16;FlyQuest;2;36.5;0.85;0.68;-0.43;0.019;36.6;13.4;-876;0.0;0.5;0.5;3.5;0.5;0.0;0.5;0.2;1.0;0.5;0.67;0.502;0.474;3.48;1.0;1.38;0.5
Esports World Cup 2025;2025-07-16;FURIA;2;32.9;1.29;0.97;0.21;-0.001;55.1;-5.1;1143;1.0;1.0;0.5;3.5;0.5;0.67;0.5;0.5;;0.5;1.0;0.479;0.479;3.57;1.43;1.5;0.5
Esports World Cup 2025;2025-07-16;G2 Esports;2;32.8;2.93;0.9;2.33;0.09;73.1;26.9;1410;0.5;0.5;1.0;6.0;1.0;0.83;0.0;0.8;;0.5;1.0;0.502;0.5710000000000001;3.31;1.24;1.61;1.0
Esports World Cup 2025;2025-07-16;GAM Esports;2;29.2;0.37;0.89;-1.02;-0.057;35.1;-35.1;-669;1.0;0.0;0.5;1.5;0.0;0.67;0.0;0.22;;0.0;0.0;0.49;0.47200000000000003;3.36;1.28;1.38;0.0
Esports World Cup 2025;2025-07-16;Hanwha Life Esports;2;28.7;2.69;1.03;1.04;0.139;61.8;38.2;853;0.0;1.0;1.0;4.0;0.0;0.33;0.5;0.63;;1.0;1.0;0.505;0.527;3.64;1.27;1.69;1.0
Esports World Cup 2025;2025-07-16;Movistar KOI;2;29.6;0.79;0.85;-0.4;-0.068;30.9;19.1;-904;0.5;0.5;0.0;4.0;1.0;0.83;0.5;0.44;;0.5;0.5;0.516;0.489;3.33;1.05;1.73;0.5
Esports World Cup 2025;2025-07-17;Anyone's Legend;3;31.2;2.18;0.95;0.78;0.126;56.3;10.4;391;0.0;0.67;0.67;1.3;0.67;0.78;0.33;0.62;;0.33;0.5;0.509;0.556;3.75;1.43;1.7;0.6666666666666666
Esports World Cup 2025;2025-07-17;Bilibili Gaming;3;32.5;0.58;0.84;-0.7;-0.009000000000000001;38.4;-5.1;-716;0.33;0.33;0.33;3.3;0.67;0.56;0.67;0.47;;0.33;0.5;0.498;0.484;3.31;1.21;1.53;0.3333333333333333
