tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
2025 Mid-Season Invitational;2025-06-27;FURIA;5;32.3;0.96;0.96;-0.48;-0.008;39.9;0.1;-524;0.6;0.8;0.6;3.8;0.0;0.73;0.6;0.45;;0.2;0.33;0.502;0.47100000000000003;3.05;1.11;1.21;0.4
2025 Mid-Season Invitational;2025-06-27;G2 Esports;5;32.3;1.04;0.96;0.48;0.008;60.1;-0.1;524;0.4;0.2;0.4;3.4;1.0;0.27;0.4;0.55;;0.6;0.67;0.498;0.529;3.2;0.97;1.26;0.6
2025 Mid-Season Invitational;2025-06-28;Bilibili Gaming;3;28.8;2.61;1.17;2.17;0.095;63.7;36.3;1597;0.67;1.0;0.67;4.3;0.67;0.56;1.0;1.0;;0.33;1.0;0.506;0.579;2.92;1.11;1.25;1.0
2025 Mid-Season Invitational;2025-06-28;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-06-28;G2 Esports;5;32.3;1.04;0.96;0.48;0.008;60.1;-0.1;524;0.4;0.2;0.4;3.4;1.0;0.27;0.4;0.55;;0.6;0.67;0.498;0.529;3.2;0.97;1.26;0.6
2025 Mid-Season Invitational;2025-06-28;GAM Esports;8;32.3;0.77;0.97;-0.17;-0.04;51.2;-13.7;-162;0.5;0.25;0.5;4.0;0.63;0.46;0.38;0.39;1.0;0.25;0.29;0.495;0.483;3.15;1.2;1.12;0.375
2025 Mid-Season Invitational;2025-06-29;Bilibili Gaming;6;30.9;2.56;0.96;1.82;0.09300000000000001;64.4;35.6;1219;0.83;0.83;0.83;4.3;0.83;0.39;1.0;0.88;;0.67;1.0;0.503;0.5579999999999999;3.03;1.14;1.4;1.0
2025 Mid-Season Invitational;2025-06-29;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-06-29;G2 Esports;8;32.5;0.77;0.89;-0.28;-0.028999999999999998;50.7;-13.2;12;0.25;0.25;0.25;3.4;0.63;0.46;0.25;0.44;;0.38;0.44;0.498;0.505;3.2;0.98;1.31;0.375
2025 Mid-Season Invitational;2025-06-29;GAM Esports;8;32.3;0.77;0.97;-0.17;-0.04;51.2;-13.7;-162;0.5;0.25;0.5;4.0;0.63;0.46;0.38;0.39;1.0;0.25;0.29;0.495;0.483;3.15;1.2;1.12;0.375
2025 Mid-Season Invitational;2025-07-01;Bilibili Gaming;6;30.9;2.56;0.96;1.82;0.09300000000000001;64.4;35.6;1219;0.83;0.83;0.83;4.3;0.83;0.39;1.0;0.88;;0.67;1.0;0.503;0.5579999999999999;3.03;1.14;1.4;1.0
2025 Mid-Season Invitational;2025-07-01;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-01;G2 Esports;13;32.4;0.86;0.83;-0.14;-0.02;51.3;-5.1;-116;0.38;0.31;0.38;4.2;0.62;0.54;0.46;0.43;0.0;0.38;0.46;0.49700000000000005;0.523;3.22;0.99;1.32;0.46153846153846156
2025 Mid-Season Invitational;2025-07-01;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-02;Bilibili Gaming;6;30.9;2.56;0.96;1.82;0.09300000000000001;64.4;35.6;1219;0.83;0.83;0.83;4.3;0.83;0.39;1.0;0.88;;0.67;1.0;0.503;0.5579999999999999;3.03;1.14;1.4;1.0
2025 Mid-Season Invitational;2025-07-02;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-02;G2 Esports;17;32.0;0.84;0.84;-0.43;-0.031;47.0;-5.8;-444;0.35;0.24;0.35;3.4;0.47;0.41;0.59;0.43;0.5;0.29;0.38;0.494;0.512;3.21;0.99;1.33;0.4117647058823529
2025 Mid-Season Invitational;2025-07-02;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-02;Gen.G;4;30.5;1.3;0.88;1.43;0.067;67.1;7.9;1512;0.75;1.0;0.75;3.5;1.0;1.0;0.0;0.56;0.0;0.75;1.0;0.516;0.525;3.47;1.26;1.6;0.75
2025 Mid-Season Invitational;2025-07-03;Anyone's Legend;4;32.9;1.3;1.05;0.91;0.040999999999999995;68.1;6.9;1403;0.75;0.75;0.75;2.5;1.0;1.0;0.75;0.63;;0.75;0.67;0.514;0.5379999999999999;3.58;1.35;1.77;0.75
2025 Mid-Season Invitational;2025-07-03;Bilibili Gaming;10;33.0;1.87;0.87;1.48;0.064;66.1;23.9;1102;0.7;0.9;0.7;4.5;0.7;0.6;0.9;0.77;1.0;0.5;0.7;0.502;0.5489999999999999;3.18;1.23;1.55;0.9
2025 Mid-Season Invitational;2025-07-03;CTBC Flying Oyster;1;36.6;0.58;1.12;-0.55;-0.054000000000000006;54.4;-54.4;-389;1.0;0.0;0.0;4.0;1.0;0.67;0.0;0.4;;1.0;0.5;0.48100000000000004;0.49;3.99;1.64;1.45;0.0
2025 Mid-Season Invitational;2025-07-03;FlyQuest;4;32.9;0.77;1.05;-0.91;-0.040999999999999995;31.9;-6.9;-1403;0.25;0.25;0.25;1.0;0.0;0.0;0.25;0.38;;0.25;0.33;0.486;0.462;3.59;1.19;1.34;0.25
2025 Mid-Season Invitational;2025-07-03;FURIA;10;33.3;0.9;0.91;-0.67;-0.001;39.9;0.1;-612;0.5;0.7;0.5;3.9;0.1;0.63;0.5;0.43;0.0;0.4;0.5;0.503;0.475;3.02;1.11;1.32;0.4
2025 Mid-Season Invitational;2025-07-03;G2 Esports;17;32.0;0.84;0.84;-0.43;-0.031;47.0;-5.8;-444;0.35;0.24;0.35;3.4;0.47;0.41;0.59;0.43;0.5;0.29;0.38;0.494;0.512;3.21;0.99;1.33;0.4117647058823529
2025 Mid-Season Invitational;2025-07-03;GAM Esports;13;32.3;0.82;0.88;-0.14;-0.022000000000000002;49.9;-11.4;24;0.46;0.38;0.46;4.7;0.54;0.41;0.31;0.47;1.0;0.31;0.36;0.499;0.47;3.22;1.23;1.22;0.38461538461538464
2025 Mid-Season Invitational;2025-07-03;Gen.G;4;30.5;1.3;0.88;1.43;0.067;67.1;7.9;1512;0.75;1.0;0.75;3.5;1.0;1.0;0.0;0.56;0.0;0.75;1.0;0.516;0.525;3.47;1.26;1.6;0.75
2025 Mid-Season Invitational;2025-07-03;Movistar KOI;4;36.1;0.85;0.75;-1.04;-0.021;31.3;-6.3;-926;0.5;0.0;0.5;2.3;0.5;0.08;0.25;0.37;0.0;0.75;0.5;0.501;0.46399999999999997;3.4;1.2;1.73;0.25
2025 Mid-Season Invitational;2025-07-03;T1;1;36.6;1.73;1.12;0.55;0.054000000000000006;45.6;54.4;389;0.0;1.0;1.0;6.0;0.0;0.33;1.0;0.6;;0.0;0.5;0.519;0.51;3.06;1.07;1.99;1.0
2025 Mid-Season Invitational;2025-07-04;Anyone's Legend;7;31.7;1.16;0.97;0.64;0.017;64.2;-7.0;1122;0.43;0.71;0.57;1.4;1.0;0.95;0.71;0.5;;0.57;0.63;0.504;0.532;3.52;1.31;1.7;0.5714285714285714
2025 Mid-Season Invitational;2025-07-04;Bilibili Gaming;10;33.0;1.87;0.87;1.48;0.064;66.1;23.9;1102;0.7;0.9;0.7;4.5;0.7;0.6;0.9;0.77;1.0;0.5;0.7;0.502;0.5489999999999999;3.18;1.23;1.55;0.9
