tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
LPL 2025 Split 3;2025-07-19;EDward Gaming;2;32.4;2.92;0.72;;0.109;;;;0.5;1.0;;;0.5;0.5;1.0;0.89;;;1.0;0.504;0.532;3.29;1.12;1.73;1.0
LPL 2025 Split 3;2025-07-19;FunPlus Phoenix;3;32.9;0.75;0.57;;-0.095;;;;0.33;0.0;;;0.67;0.44;1.0;0.56;;;0.25;0.488;0.45299999999999996;3.62;1.42;1.3;0.3333333333333333
LPL 2025 Split 3;2025-07-19;Invictus Gaming;3;33.8;0.89;1.12;;-0.001;;;;0.67;0.67;;;0.67;0.44;1.0;0.62;;;0.67;0.496;0.47200000000000003;3.17;1.28;1.5;0.3333333333333333
LPL 2025 Split 3;2025-07-19;Top Esports;3;33.8;1.11;1.12;;0.001;;;;0.33;0.33;;;0.33;0.56;0.0;0.38;;;0.33;0.504;0.528;3.61;1.53;1.37;0.6666666666666666
LPL 2025 Split 3;2025-07-19;Ultra Prime;2;32.4;0.34;0.72;;-0.109;;;;0.5;0.0;;;0.5;0.5;0.0;0.11;;;0.0;0.496;0.46799999999999997;3.7;1.29;1.17;0.0
LPL 2025 Split 3;2025-07-19;Weibo Gaming;3;32.9;1.33;0.57;;0.095;;;;0.67;1.0;;;0.33;0.56;0.0;0.44;;;0.75;0.512;0.547;3.44;1.22;2.02;0.6666666666666666
LPL 2025 Split 3;2025-07-20;EDward Gaming;4;31.1;3.33;0.73;;0.124;;;;0.75;0.75;;;0.25;0.5;0.5;0.72;;;1.0;0.507;0.5379999999999999;3.45;1.15;1.86;1.0
LPL 2025 Split 3;2025-07-20;FunPlus Phoenix;3;32.9;0.75;0.57;;-0.095;;;;0.33;0.0;;;0.67;0.44;1.0;0.56;;;0.25;0.488;0.45299999999999996;3.62;1.42;1.3;0.3333333333333333
LPL 2025 Split 3;2025-07-20;Invictus Gaming;3;33.8;0.89;1.12;;-0.001;;;;0.67;0.67;;;0.67;0.44;1.0;0.62;;;0.67;0.496;0.47200000000000003;3.17;1.28;1.5;0.3333333333333333
LPL 2025 Split 3;2025-07-20;ThunderTalk Gaming;2;29.7;0.26;0.74;;-0.139;;;;0.0;0.5;;;1.0;0.5;1.0;0.44;;;0.0;0.489;0.455;3.86;1.39;1.59;0.0
LPL 2025 Split 3;2025-07-20;Top Esports;6;36.8;1.19;0.92;;0.013000000000000001;;;;0.33;0.17;;;0.5;0.44;0.5;0.48;;;0.63;0.505;0.521;3.47;1.43;1.52;0.6666666666666666
LPL 2025 Split 3;2025-07-20;Ultra Prime;2;32.4;0.34;0.72;;-0.109;;;;0.5;0.0;;;0.5;0.5;0.0;0.11;;;0.0;0.496;0.46799999999999997;3.7;1.29;1.17;0.0
LPL 2025 Split 3;2025-07-20;Weibo Gaming;6;36.4;0.95;0.67;;0.035;;;;0.67;1.0;;;0.33;0.61;0.0;0.44;;;0.44;0.503;0.516;3.64;1.35;1.84;0.5
LPL 2025 Split 3;2025-07-21;EDward Gaming;4;31.1;3.33;0.73;;0.124;;;;0.75;0.75;;;0.25;0.5;0.5;0.72;;;1.0;0.507;0.5379999999999999;3.45;1.15;1.86;1.0
