tournament;date;Team;GP;AGT;KD;CKPM;GPR;GSPD;EGR;MLR;GD15;FB%;FT%;F3T%;PPG;HLD%;GRB%;FD%;DRG%;ELD%;FBN%;BN%;LNE%;JNG%;WPM;CWPM;WCPM;winrate%
LEC 2025 Winter;2025-01-18;Fnatic;1;30.1;0.11;0.7;-1.92;-0.212;15.7;-15.7;-2325.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.511;0.475;3.25;0.93;1.46;0.0
LEC 2025 Winter;2025-01-18;G2 Esports;1;37.7;0.59;0.93;-0.36;-0.046;46.8;-46.8;-186.0;0.0;0.0;1.0;6.0;1.0;0.5;0.0;0.2;0.0;0.0;0.0;0.494;0.501;3.27;1.19;1.57;0.0
LEC 2025 Winter;2025-01-18;GiantX;1;33.1;3.8;0.72;0.73;0.142;34.0;66.0;-950.0;1.0;0.0;0.0;6.0;0.0;0.17;0.0;0.25;;1.0;1.0;0.521;0.517;3.35;1.03;1.72;1.0
LEC 2025 Winter;2025-01-18;Karmine Corp;1;37.7;1.69;0.93;0.36;0.046;53.2;46.8;186.0;1.0;1.0;0.0;6.0;0.0;0.5;1.0;0.8;1.0;1.0;1.0;0.506;0.499;3.88;1.41;1.59;1.0
LEC 2025 Winter;2025-01-18;Movistar KOI;1;30.1;9.5;0.7;1.92;0.212;84.3;15.7;2325.0;1.0;1.0;1.0;4.0;1.0;1.0;1.0;1.0;;1.0;1.0;0.489;0.525;3.52;1.53;1.83;1.0
LEC 2025 Winter;2025-01-18;Rogue;1;38.7;3.67;0.36;-0.19;0.08800000000000001;46.1;53.9;-1229.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;0.67;;1.0;1.0;0.495;0.498;3.56;1.16;1.83;1.0
LEC 2025 Winter;2025-01-18;SK Gaming;1;33.1;0.26;0.72;-0.73;-0.142;66.0;-66.0;950.0;0.0;1.0;1.0;7.0;1.0;0.83;1.0;0.75;;0.0;0.0;0.479;0.483;3.02;1.12;0.88;0.0
LEC 2025 Winter;2025-01-18;Team BDS;1;32.5;0.41;0.74;-0.81;-0.141;46.3;-46.3;-885.0;1.0;0.0;0.0;3.0;0.0;0.67;1.0;0.75;;0.0;0.0;0.507;0.466;3.17;1.17;1.66;0.0
LEC 2025 Winter;2025-01-18;Team Heretics;1;38.7;0.27;0.36;0.19;-0.08800000000000001;53.9;-53.9;1229.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.33;;0.0;0.0;0.505;0.502;3.77;1.42;1.52;0.0
LEC 2025 Winter;2025-01-18;Team Vitality;1;32.5;2.43;0.74;0.81;0.141;53.7;46.3;885.0;0.0;1.0;1.0;5.0;1.0;0.33;0.0;0.25;;1.0;1.0;0.493;0.534;3.26;1.14;1.63;1.0
LEC 2025 Winter;2025-01-19;Fnatic;2;29.4;1.11;1.0;0.76;-0.019;53.0;-3.0;661.0;0.0;0.0;0.5;4.0;0.0;0.25;0.0;0.29;;0.5;0.5;0.521;0.55;3.06;0.85;1.22;0.5
LEC 2025 Winter;2025-01-19;G2 Esports;2;34.7;0.68;0.82;0.74;-0.001;69.8;-69.8;1720.0;0.5;0.5;1.0;7.0;0.5;0.5;0.0;0.3;0.0;0.0;0.0;0.49700000000000005;0.5529999999999999;2.77;0.96;1.37;0.0
LEC 2025 Winter;2025-01-19;GiantX;2;46.2;1.44;0.84;0.2;0.094;25.0;75.0;-1603.0;0.5;0.0;0.0;4.0;0.0;0.08;0.5;0.56;0.75;1.0;0.6;0.523;0.536;3.4;1.04;1.81;1.0
LEC 2025 Winter;2025-01-19;Karmine Corp;2;37.1;1.83;0.92;0.4;0.066;41.2;58.8;-224.0;0.5;0.5;0.5;6.5;0.0;0.5;0.5;0.73;1.0;0.5;0.5;0.516;0.501;3.95;1.33;1.7;1.0
LEC 2025 Winter;2025-01-19;Movistar KOI;2;33.3;1.25;0.81;0.64;0.063;77.5;-27.5;1479.0;1.0;1.0;0.5;5.0;1.0;0.75;1.0;0.6;;1.0;1.0;0.48100000000000004;0.511;3.44;1.52;1.95;0.5
LEC 2025 Winter;2025-01-19;Rogue;2;49.0;1.23;0.69;-0.01;0.021;65.1;-15.1;514.0;0.5;1.0;0.5;5.0;0.5;0.5;0.5;0.45;0.25;0.5;0.67;0.485;0.47200000000000003;3.78;1.1;1.7;0.5
LEC 2025 Winter;2025-01-19;SK Gaming;2;33.5;0.29;0.72;-1.31;-0.122;39.0;-39.0;-866.0;0.0;0.5;0.5;7.0;0.5;0.67;1.0;0.63;;0.0;0.0;0.494;0.493;3.12;1.08;1.15;0.0
LEC 2025 Winter;2025-01-19;Team BDS;2;32.1;0.7;0.72;-1.41;-0.09300000000000001;26.7;23.3;-2255.0;0.5;0.0;0.0;2.5;0.5;0.58;1.0;0.67;;0.5;0.5;0.504;0.431;3.1;1.17;1.35;0.5
LEC 2025 Winter;2025-01-19;Team Heretics;2;36.3;1.24;0.52;0.98;0.006999999999999999;70.9;-20.9;1955.0;1.0;0.5;1.0;2.0;1.0;0.75;0.0;0.4;;0.5;0.5;0.498;0.5;3.67;1.36;1.53;0.5
LEC 2025 Winter;2025-01-19;Team Vitality;2;30.6;0.72;1.01;-1.26;-0.017;31.8;18.2;-1381.0;0.5;1.0;0.5;3.0;1.0;0.42;0.5;0.29;;0.5;0.5;0.48100000000000004;0.455;3.04;1.01;1.27;0.5
LEC 2025 Winter;2025-01-20;Fnatic;3;28.1;1.59;0.98;1.85;0.083;67.4;-0.7;2144.0;0.33;0.33;0.67;6.3;0.33;0.5;0.33;0.5;;0.33;0.5;0.515;0.584;3.06;0.79;1.22;0.6666666666666666
