match_id;game_in_series;teamA;teamB;teamA_win;split;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B;year;month;day
0;1;92;85;1;2;0;28.0;26;0.96;1779.0;-47.0;46;12.6;13.1;5.1;5.9;60.7;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;0;75.0;30;0.91;1840.0;-51.0;34;15.0;16.5;5.4;6.4;46;35;34;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2025;3;31
0;2;92;85;0;2;0;28.0;26;0.96;1779.0;-47.0;46;12.6;13.1;5.1;5.9;60.7;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;0;75.0;30;0.91;1840.0;-51.0;34;15.0;16.5;5.4;6.4;46;35;34;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2025;3;31
0;3;92;85;0;2;0;28.0;26;0.96;1779.0;-47.0;46;12.6;13.1;5.1;5.9;60.7;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;0;75.0;30;0.91;1840.0;-51.0;34;15.0;16.5;5.4;6.4;46;35;34;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2025;3;31
1;1;86;52;1;2;0;75.0;30;0.91;1840.0;-51.0;33;15.0;16.5;5.4;6.4;61.3;35;34;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;0;26.0;31;0.96;1835.0;-28.0;44;15.0;15.6;5.5;6.5;12;30;14;2.12;47.0;2.8;38.5;0;0;0;-385.0;0;0.54;48.6;32.6;2701.0;3.1;1.18;1.54;2025;3;31
1;2;86;52;1;2;0;75.0;30;0.91;1840.0;-51.0;33;15.0;16.5;5.4;6.4;61.3;35;34;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;0;26.0;31;0.96;1835.0;-28.0;44;15.0;15.6;5.5;6.5;12;30;14;2.12;47.0;2.8;38.5;0;0;0;-385.0;0;0.54;48.6;32.6;2701.0;3.1;1.18;1.54;2025;3;31
112;1;32;91;1;2;0;68.0;24;0.91;1835.0;-79.0;42;15.4;17.0;5.5;6.5;45.6;23;7;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;0;28.0;26;0.96;1779.0;-47.0;47;12.6;13.1;5.1;5.9;45;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2025;3;30
112;2;32;91;1;2;0;68.0;24;0.91;1835.0;-79.0;42;15.4;17.0;5.5;6.5;45.6;23;7;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;0;28.0;26;0.96;1779.0;-47.0;47;12.6;13.1;5.1;5.9;45;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2025;3;30
112;3;32;91;0;2;0;68.0;24;0.91;1835.0;-79.0;42;15.4;17.0;5.5;6.5;45.6;23;7;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;0;28.0;26;0.96;1779.0;-47.0;47;12.6;13.1;5.1;5.9;45;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2025;3;30
223;1;86;91;0;2;0;75.0;30;0.91;1840.0;-51.0;33;15.0;16.5;5.4;6.4;61.3;35;34;2.27;50.7;2.1;41.3;0;0;0;-204.0;0;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;0;28.0;26;0.96;1779.0;-47.0;47;12.6;13.1;5.1;5.9;45;20;21;2.18;48.6;2.4;57.1;0;0;0;-160.0;0;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2025;3;30
334;1;52;32;0;2;0;26.0;31;0.96;1835.0;-28.0;43;15.0;15.6;5.5;6.5;38.5;30;14;2.12;47.0;2.8;38.5;0;0;0;-385.0;0;0.54;48.6;32.6;2701.0;3.1;1.18;1.54;0;68.0;24;0.91;1835.0;-79.0;43;15.4;17.0;5.5;6.5;23;23;7;2.09;44.4;2.2;51.5;0;0;0;-328.0;0;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;2025;3;30
