match_id;game_in_series;teamA;teamB;teamA_win;split;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B;year;month;day
18;1;74;31;1;3;0;17.0;9;0.83;1802.0;-63.0;10;13.2;15.9;4.9;6.2;47.1;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;0;14.0;7;0.64;1695.0;-250.0;33;10.9;17.0;3.1;7.7;8;1;3;2.14;44.2;1.5;57.1;0;0;0;-1346.0;0;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;2025;8;4
18;2;74;31;1;3;0;17.0;9;0.83;1802.0;-63.0;10;13.2;15.9;4.9;6.2;47.1;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;0;14.0;7;0.64;1695.0;-250.0;33;10.9;17.0;3.1;7.7;8;1;3;2.14;44.2;1.5;57.1;0;0;0;-1346.0;0;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;2025;8;4
18;3;74;31;0;3;0;17.0;9;0.83;1802.0;-63.0;10;13.2;15.9;4.9;6.2;47.1;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;0;14.0;7;0.64;1695.0;-250.0;33;10.9;17.0;3.1;7.7;8;1;3;2.14;44.2;1.5;57.1;0;0;0;-1346.0;0;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;2025;8;4
19;1;9;77;1;3;0;12.0;31;1.45;1957.0;191.0;36;20.0;13.8;7.5;3.5;50.0;25;25;2.92;66.0;1.2;41.7;25;22;6;657.0;20;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;0;15.0;27;1.19;1911.0;112.0;39;17.5;14.7;6.7;4.7;20;15;12;2.4;52.8;1.5;46.7;0;0;0;505.0;0;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;2025;8;3
19;2;9;77;1;3;0;12.0;31;1.45;1957.0;191.0;36;20.0;13.8;7.5;3.5;50.0;25;25;2.92;66.0;1.2;41.7;25;22;6;657.0;20;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;0;15.0;27;1.19;1911.0;112.0;39;17.5;14.7;6.7;4.7;20;15;12;2.4;52.8;1.5;46.7;0;0;0;505.0;0;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;2025;8;3
122;1;47;23;0;3;0;12.0;4;0.58;1713.0;-244.0;31;10.2;17.6;3.5;7.7;66.7;20;5;1.42;26.5;1.9;41.7;0;0;0;228.0;0;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;0;10.0;1;2.74;2018.0;349.0;19;18.6;6.7;9.0;2.8;12;23;13;3.3;77.0;0.9;30.0;0;0;0;1566.0;0;0.9;100.0;35.4;2594.0;3.7;1.28;1.81;2025;8;3
122;2;47;23;0;3;0;12.0;4;0.58;1713.0;-244.0;31;10.2;17.6;3.5;7.7;66.7;20;5;1.42;26.5;1.9;41.7;0;0;0;228.0;0;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;0;10.0;1;2.74;2018.0;349.0;19;18.6;6.7;9.0;2.8;12;23;13;3.3;77.0;0.9;30.0;0;0;0;1566.0;0;0.9;100.0;35.4;2594.0;3.7;1.28;1.81;2025;8;3
133;1;41;1;0;3;0;11.0;11;0.68;1743.0;-145.0;4;10.5;15.5;4.6;6.0;63.6;17;17;1.55;34.5;1.5;54.5;0;0;0;33.0;0;0.36;44.4;32.4;2372.0;3.5;1.29;1.31;0;21.0;20;1.18;1856.0;43.0;18;15.3;13.0;5.4;5.0;3;13;20;2.0;46.0;1.8;61.9;6;8;8;115.0;2;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;2025;8;2
133;2;41;1;0;3;0;11.0;11;0.68;1743.0;-145.0;4;10.5;15.5;4.6;6.0;63.6;17;17;1.55;34.5;1.5;54.5;0;0;0;33.0;0;0.36;44.4;32.4;2372.0;3.5;1.29;1.31;0;21.0;20;1.18;1856.0;43.0;18;15.3;13.0;5.4;5.0;3;13;20;2.0;46.0;1.8;61.9;6;8;8;115.0;2;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;2025;8;2
144;1;47;80;1;3;0;12.0;4;0.58;1713.0;-244.0;31;10.2;17.6;3.5;7.7;66.7;20;5;1.42;26.5;1.9;41.7;0;0;0;228.0;0;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;0;14.0;10;0.76;1774.0;-90.0;9;9.8;12.9;4.6;6.3;8;3;8;2.07;48.0;1.8;64.3;0;0;0;-670.0;0;0.29;30.3;33.9;2124.0;3.7;1.29;1.34;2025;8;2
144;2;47;80;0;3;0;12.0;4;0.58;1713.0;-244.0;31;10.2;17.6;3.5;7.7;66.7;20;5;1.42;26.5;1.9;41.7;0;0;0;228.0;0;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;0;14.0;10;0.76;1774.0;-90.0;9;9.8;12.9;4.6;6.3;8;3;8;2.07;48.0;1.8;64.3;0;0;0;-670.0;0;0.29;30.3;33.9;2124.0;3.7;1.29;1.34;2025;8;2
144;3;47;80;0;3;0;12.0;4;0.58;1713.0;-244.0;31;10.2;17.6;3.5;7.7;66.7;20;5;1.42;26.5;1.9;41.7;0;0;0;228.0;0;0.17;18.2;33.0;2279.0;3.5;1.24;1.61;0;14.0;10;0.76;1774.0;-90.0;9;9.8;12.9;4.6;6.3;8;3;8;2.07;48.0;1.8;64.3;0;0;0;-670.0;0;0.29;30.3;33.9;2124.0;3.7;1.29;1.34;2025;8;2
155;1;68;49;0;3;0;9.0;14;1.04;1837.0;4.0;13;13.0;12.6;5.6;6.2;55.6;5;18;2.78;56.9;1.3;55.6;0;0;0;-75.0;0;0.67;62.5;33.7;2211.0;3.7;1.44;1.63;0;13.0;17;0.9;1856.0;9.0;8;13.4;14.9;5.8;5.2;5;24;17;1.85;45.0;1.5;46.2;0;0;0;-581.0;0;0.31;36.4;33.5;2395.0;3.1;1.13;1.58;2025;8;2
155;2;68;49;0;3;0;9.0;14;1.04;1837.0;4.0;13;13.0;12.6;5.6;6.2;55.6;5;18;2.78;56.9;1.3;55.6;0;0;0;-75.0;0;0.67;62.5;33.7;2211.0;3.7;1.44;1.63;0;13.0;17;0.9;1856.0;9.0;8;13.4;14.9;5.8;5.2;5;24;17;1.85;45.0;1.5;46.2;0;0;0;-581.0;0;0.31;36.4;33.5;2395.0;3.1;1.13;1.58;2025;8;2
166;1;39;85;1;3;0;11.0;23;1.25;1917.0;143.0;46;20.2;16.0;6.9;4.8;54.5;17;11;2.82;61.7;1.2;63.6;0;0;0;195.0;0;0.82;66.7;31.6;3215.0;3.4;1.29;1.58;0;16.0;13;0.98;1825.0;-1.0;45;14.1;14.4;5.9;5.9;12;26;9;2.0;40.7;1.6;43.8;0;0;0;116.0;0;0.56;45.6;33.2;2757.0;3.6;1.35;1.66;2025;8;1
166;2;39;85;1;3;0;11.0;23;1.25;1917.0;143.0;46;20.2;16.0;6.9;4.8;54.5;17;11;2.82;61.7;1.2;63.6;0;0;0;195.0;0;0.82;66.7;31.6;3215.0;3.4;1.29;1.58;0;16.0;13;0.98;1825.0;-1.0;45;14.1;14.4;5.9;5.9;12;26;9;2.0;40.7;1.6;43.8;0;0;0;116.0;0;0.56;45.6;33.2;2757.0;3.6;1.35;1.66;2025;8;1
177;1;27;43;0;3;0;14.0;7;0.64;1695.0;-250.0;29;10.9;17.0;3.1;7.7;42.9;1;3;2.14;44.2;1.5;57.1;0;0;0;-1346.0;0;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;0;11.0;11;0.68;1743.0;-145.0;4;10.5;15.5;4.6;6.0;23;17;18;1.55;34.5;1.5;54.5;0;0;0;33.0;0;0.36;44.4;32.4;2372.0;3.5;1.29;1.31;2025;8;1
177;2;27;43;0;3;0;14.0;7;0.64;1695.0;-250.0;29;10.9;17.0;3.1;7.7;42.9;1;3;2.14;44.2;1.5;57.1;0;0;0;-1346.0;0;0.21;21.4;31.8;2291.0;3.4;1.34;1.5;0;11.0;11;0.68;1743.0;-145.0;4;10.5;15.5;4.6;6.0;23;17;18;1.55;34.5;1.5;54.5;0;0;0;33.0;0;0.36;44.4;32.4;2372.0;3.5;1.29;1.31;2025;8;1
188;1;84;9;0;3;0;16.0;13;0.98;1825.0;-1.0;42;14.1;14.4;5.9;5.9;50.0;26;9;2.0;40.7;1.6;43.8;0;0;0;116.0;0;0.56;45.6;33.2;2757.0;3.6;1.35;1.66;0;12.0;32;1.45;1957.0;191.0;40;20.0;13.8;7.5;3.5;12;25;25;2.92;66.0;1.2;41.7;27;21;5;657.0;20;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;2025;7;31
188;2;84;9;0;3;0;16.0;13;0.98;1825.0;-1.0;42;14.1;14.4;5.9;5.9;50.0;26;9;2.0;40.7;1.6;43.8;0;0;0;116.0;0;0.56;45.6;33.2;2757.0;3.6;1.35;1.66;0;12.0;32;1.45;1957.0;191.0;40;20.0;13.8;7.5;3.5;12;25;25;2.92;66.0;1.2;41.7;27;21;5;657.0;20;0.92;75.0;33.4;3010.0;3.6;1.39;1.75;2025;7;31
199;1;77;74;1;3;0;15.0;25;1.19;1911.0;112.0;35;17.5;14.7;6.7;4.7;60.0;15;12;2.4;52.8;1.5;46.7;0;0;0;505.0;0;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;0;17.0;9;0.83;1802.0;-63.0;11;13.2;15.9;4.9;6.2;11;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;2025;7;31
199;2;77;74;1;3;0;15.0;25;1.19;1911.0;112.0;35;17.5;14.7;6.7;4.7;60.0;15;12;2.4;52.8;1.5;46.7;0;0;0;505.0;0;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;0;17.0;9;0.83;1802.0;-63.0;11;13.2;15.9;4.9;6.2;11;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;2025;7;31
199;3;77;74;0;3;0;15.0;25;1.19;1911.0;112.0;35;17.5;14.7;6.7;4.7;60.0;15;12;2.4;52.8;1.5;46.7;0;0;0;505.0;0;0.73;63.3;33.4;2778.0;3.5;1.35;1.61;0;17.0;9;0.83;1802.0;-63.0;11;13.2;15.9;4.9;6.2;11;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;2025;7;31
20;1;1;74;1;3;0;21.0;20;1.18;1856.0;43.0;16;15.3;13.0;5.4;5.0;28.6;13;19;2.0;46.0;1.8;61.9;5;10;9;115.0;2;0.52;48.1;33.5;2756.0;3.7;1.43;1.62;0;17.0;9;0.83;1802.0;-63.0;11;13.2;15.9;4.9;6.2;11;10;22;2.24;54.0;1.6;47.1;0;0;0;-19.0;0;0.47;41.2;32.8;2604.0;3.5;1.36;1.62;2025;7;30
