match_id;game_in_series;teamA;teamB;teamA_win;A_GP;A_W;A_L;A_AGT;A_K;A_D;A_KD;A_CKPM;A_GPR;A_GSPD;A_EGR;A_MLR;A_GD15;A_FB%;A_FT%;A_F3T%;A_PPG;A_HLD%;A_GRB%;A_FD%;A_DRG%;A_ELD%;A_FBN%;A_BN%;A_LNE%;A_JNG%;A_WPM;A_CWPM;A_WCPM;B_GP;B_W;B_L;B_AGT;B_K;B_D;B_KD;B_CKPM;B_GPR;B_GSPD;B_EGR;B_MLR;B_GD15;B_FB%;B_FT%;B_F3T%;B_PPG;B_HLD%;B_GRB%;B_FD%;B_DRG%;B_ELD%;B_FBN%;B_BN%;B_LNE%;B_JNG%;B_WPM;B_CWPM;B_WCPM;tournament;year;month;day
0;1;51;28;1;7.0;4.0;3.0;35.8;104.0;117.0;0.89;0.88;-1.0;52;-1.0;-1.0;-1.0;6;21;-1;-1.0;15;12;7;10;-1;-1;7;30;61;3.32;1.31;1.61;6.0;3.0;3.0;33.1;109.0;98.0;1.11;1.04;-1.0;66;-1.0;-1.0;-1.0;16;20;-1;-1.0;26;30;16;45;-1;-1;16;13;32;3.27;1.34;1.63;5;2025;2;16
0;2;51;28;1;7.0;4.0;3.0;35.8;104.0;117.0;0.89;0.88;-1.0;52;-1.0;-1.0;-1.0;6;21;-1;-1.0;15;12;7;10;-1;-1;7;30;61;3.32;1.31;1.61;6.0;3.0;3.0;33.1;109.0;98.0;1.11;1.04;-1.0;66;-1.0;-1.0;-1.0;16;20;-1;-1.0;26;30;16;45;-1;-1;16;13;32;3.27;1.34;1.63;5;2025;2;16
0;3;51;28;1;7.0;4.0;3.0;35.8;104.0;117.0;0.89;0.88;-1.0;52;-1.0;-1.0;-1.0;6;21;-1;-1.0;15;12;7;10;-1;-1;7;30;61;3.32;1.31;1.61;6.0;3.0;3.0;33.1;109.0;98.0;1.11;1.04;-1.0;66;-1.0;-1.0;-1.0;16;20;-1;-1.0;26;30;16;45;-1;-1;16;13;32;3.27;1.34;1.63;5;2025;2;16
1;1;16;23;0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;8.0;4.0;4.0;33.5;108.0;108.0;1.0;0.81;-1.0;55;-1.0;-1.0;-1.0;4;28;-1;-1.0;29;14;28;25;-1;-1;9;28;26;3.22;1.29;1.66;5;2025;2;15
1;2;16;23;0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;8.0;4.0;4.0;33.5;108.0;108.0;1.0;0.81;-1.0;55;-1.0;-1.0;-1.0;4;28;-1;-1.0;29;14;28;25;-1;-1;9;28;26;3.22;1.29;1.66;5;2025;2;15
1;3;16;23;0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;8.0;4.0;4.0;33.5;108.0;108.0;1.0;0.81;-1.0;55;-1.0;-1.0;-1.0;4;28;-1;-1.0;29;14;28;25;-1;-1;9;28;26;3.22;1.29;1.66;5;2025;2;15
103;1;2;45;1;6.0;6.0;0.0;31.4;109.0;44.0;2.48;0.81;-1.0;111;-1.0;-1.0;-1.0;18;32;-1;-1.0;11;25;17;47;-1;-1;35;37;54;3.38;1.31;1.81;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;14
103;2;2;45;1;6.0;6.0;0.0;31.4;109.0;44.0;2.48;0.81;-1.0;111;-1.0;-1.0;-1.0;18;32;-1;-1.0;11;25;17;47;-1;-1;35;37;54;3.38;1.31;1.81;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;14
103;3;2;45;0;6.0;6.0;0.0;31.4;109.0;44.0;2.48;0.81;-1.0;111;-1.0;-1.0;-1.0;18;32;-1;-1.0;11;25;17;47;-1;-1;35;37;54;3.38;1.31;1.81;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;14
103;4;2;45;0;6.0;6.0;0.0;31.4;109.0;44.0;2.48;0.81;-1.0;111;-1.0;-1.0;-1.0;18;32;-1;-1.0;11;25;17;47;-1;-1;35;37;54;3.38;1.31;1.81;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;14
103;5;2;45;0;6.0;6.0;0.0;31.4;109.0;44.0;2.48;0.81;-1.0;111;-1.0;-1.0;-1.0;18;32;-1;-1.0;11;25;17;47;-1;-1;35;37;54;3.38;1.31;1.81;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;14
114;1;41;34;0;8.0;4.0;4.0;35.0;103.0;102.0;1.01;0.73;-1.0;51;-1.0;-1.0;-1.0;25;24;-1;-1.0;6;17;5;12;-1;-1;21;19;43;3.39;1.33;1.49;7.0;6.0;1.0;31.9;123.0;72.0;1.71;0.87;-1.0;95;-1.0;-1.0;-1.0;1;15;-1;-1.0;19;30;7;43;-1;-1;1;9;76;3.07;1.15;1.48;5;2025;2;13
114;2;41;34;0;8.0;4.0;4.0;35.0;103.0;102.0;1.01;0.73;-1.0;51;-1.0;-1.0;-1.0;25;24;-1;-1.0;6;17;5;12;-1;-1;21;19;43;3.39;1.33;1.49;7.0;6.0;1.0;31.9;123.0;72.0;1.71;0.87;-1.0;95;-1.0;-1.0;-1.0;1;15;-1;-1.0;19;30;7;43;-1;-1;1;9;76;3.07;1.15;1.48;5;2025;2;13
114;3;41;34;0;8.0;4.0;4.0;35.0;103.0;102.0;1.01;0.73;-1.0;51;-1.0;-1.0;-1.0;25;24;-1;-1.0;6;17;5;12;-1;-1;21;19;43;3.39;1.33;1.49;7.0;6.0;1.0;31.9;123.0;72.0;1.71;0.87;-1.0;95;-1.0;-1.0;-1.0;1;15;-1;-1.0;19;30;7;43;-1;-1;1;9;76;3.07;1.15;1.48;5;2025;2;13
125;1;52;37;1;7.0;1.0;6.0;31.6;73.0;124.0;0.59;0.89;-1.0;50;-1.0;-1.0;-1.0;14;14;-1;-1.0;8;3;7;17;-1;-1;31;7;28;3.33;1.52;1.57;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;12
125;2;52;37;1;7.0;1.0;6.0;31.6;73.0;124.0;0.59;0.89;-1.0;50;-1.0;-1.0;-1.0;14;14;-1;-1.0;8;3;7;17;-1;-1;31;7;28;3.33;1.52;1.57;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;12
125;3;52;37;0;7.0;1.0;6.0;31.6;73.0;124.0;0.59;0.89;-1.0;50;-1.0;-1.0;-1.0;14;14;-1;-1.0;8;3;7;17;-1;-1;31;7;28;3.33;1.52;1.57;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;12
125;4;52;37;0;7.0;1.0;6.0;31.6;73.0;124.0;0.59;0.89;-1.0;50;-1.0;-1.0;-1.0;14;14;-1;-1.0;8;3;7;17;-1;-1;31;7;28;3.33;1.52;1.57;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1.0;-1;-1.0;-1.0;-1.0;-1;-1;-1;-1.0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1.0;-1.0;-1.0;5;2025;2;12
