match_id;game_in_series;teamA;teamB;teamA_win;split;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B;year;month;day
940;1;89;52;1;1;0;41.0;56;0.96;1845.0;38.0;75;15.3;15.9;6.5;5.2;32;49;48;1.98;47.8;3.4;51.2;67;14;1;316.0;54;0.37;38.9;33.0;2884.0;3.3;1.35;1.59;0;9.0;18;1.0;1814.0;-48.0;95;16.9;16.9;5.1;6.0;28;13;8;2.78;67.4;3.2;55.6;0;0;0;166.0;0;0.56;54.2;31.4;2556.0;3.2;1.29;1.53;2025;2;16
940;2;89;52;1;1;0;41.0;56;0.96;1845.0;38.0;75;15.3;15.9;6.5;5.2;32;49;48;1.98;47.8;3.4;51.2;67;14;1;316.0;54;0.37;38.9;33.0;2884.0;3.3;1.35;1.59;0;9.0;18;1.0;1814.0;-48.0;95;16.9;16.9;5.1;6.0;28;13;8;2.78;67.4;3.2;55.6;0;0;0;166.0;0;0.56;54.2;31.4;2556.0;3.2;1.29;1.53;2025;2;16
940;3;89;52;1;1;0;41.0;56;0.96;1845.0;38.0;75;15.3;15.9;6.5;5.2;32;49;48;1.98;47.8;3.4;51.2;67;14;1;316.0;54;0.37;38.9;33.0;2884.0;3.3;1.35;1.59;0;9.0;18;1.0;1814.0;-48.0;95;16.9;16.9;5.1;6.0;28;13;8;2.78;67.4;3.2;55.6;0;0;0;166.0;0;0.56;54.2;31.4;2556.0;3.2;1.29;1.53;2025;2;16
941;1;32;44;0;1;0;10.0;1;0.52;1722.0;-281.0;38;9.7;18.6;4.1;9.1;5;4;1;1.6;34.7;2.5;60.0;0;0;0;-2015.0;0;0.2;28.6;32.1;2164.0;3.1;1.27;1.4;0;15.0;45;1.16;1859.0;81.0;76;16.2;14.0;6.1;4.9;18;36;66;2.33;58.4;2.9;66.7;0;0;0;353.0;0;0.53;50.0;32.5;2765.0;3.2;1.2;1.62;2025;2;15
941;2;32;44;0;1;0;10.0;1;0.52;1722.0;-281.0;38;9.7;18.6;4.1;9.1;5;4;1;1.6;34.7;2.5;60.0;0;0;0;-2015.0;0;0.2;28.6;32.1;2164.0;3.1;1.27;1.4;0;15.0;45;1.16;1859.0;81.0;76;16.2;14.0;6.1;4.9;18;36;66;2.33;58.4;2.9;66.7;0;0;0;353.0;0;0.53;50.0;32.5;2765.0;3.2;1.2;1.62;2025;2;15
941;3;32;44;0;1;0;10.0;1;0.52;1722.0;-281.0;38;9.7;18.6;4.1;9.1;5;4;1;1.6;34.7;2.5;60.0;0;0;0;-2015.0;0;0.2;28.6;32.1;2164.0;3.1;1.27;1.4;0;15.0;45;1.16;1859.0;81.0;76;16.2;14.0;6.1;4.9;18;36;66;2.33;58.4;2.9;66.7;0;0;0;353.0;0;0.53;50.0;32.5;2765.0;3.2;1.2;1.62;2025;2;15
1052;1;9;78;1;1;0;23.0;72;1.35;1911.0;148.0;15;16.6;12.2;7.0;4.8;35;79;31;2.39;58.6;2.9;26.1;0;0;0;646.0;0;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;0;21.0;42;1.0;1835.0;-10.0;20;14.8;14.8;5.9;6.0;60;13;38;2.29;54.4;3.3;71.4;0;0;0;-223.0;0;0.62;50.8;32.3;2632.0;3.3;1.37;1.41;2025;2;14
1052;2;9;78;1;1;0;23.0;72;1.35;1911.0;148.0;15;16.6;12.2;7.0;4.8;35;79;31;2.39;58.6;2.9;26.1;0;0;0;646.0;0;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;0;21.0;42;1.0;1835.0;-10.0;20;14.8;14.8;5.9;6.0;60;13;38;2.29;54.4;3.3;71.4;0;0;0;-223.0;0;0.62;50.8;32.3;2632.0;3.3;1.37;1.41;2025;2;14
1052;3;9;78;0;1;0;23.0;72;1.35;1911.0;148.0;15;16.6;12.2;7.0;4.8;35;79;31;2.39;58.6;2.9;26.1;0;0;0;646.0;0;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;0;21.0;42;1.0;1835.0;-10.0;20;14.8;14.8;5.9;6.0;60;13;38;2.29;54.4;3.3;71.4;0;0;0;-223.0;0;0.62;50.8;32.3;2632.0;3.3;1.37;1.41;2025;2;14
1052;4;9;78;0;1;0;23.0;72;1.35;1911.0;148.0;15;16.6;12.2;7.0;4.8;35;79;31;2.39;58.6;2.9;26.1;0;0;0;646.0;0;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;0;21.0;42;1.0;1835.0;-10.0;20;14.8;14.8;5.9;6.0;60;13;38;2.29;54.4;3.3;71.4;0;0;0;-223.0;0;0.62;50.8;32.3;2632.0;3.3;1.37;1.41;2025;2;14
1052;5;9;78;0;1;0;23.0;72;1.35;1911.0;148.0;15;16.6;12.2;7.0;4.8;35;79;31;2.39;58.6;2.9;26.1;0;0;0;646.0;0;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;0;21.0;42;1.0;1835.0;-10.0;20;14.8;14.8;5.9;6.0;60;13;38;2.29;54.4;3.3;71.4;0;0;0;-223.0;0;0.62;50.8;32.3;2632.0;3.3;1.37;1.41;2025;2;14
