teamA;teamB;winA
Team Heretics;Team Vitality;1
Rogue;Movistar KOI;0
Team Heretics;GIANTX;0
G2 Esports;Karmine Corp;0
SK Gaming;Team Vitality;0
Team Vitality;Karmine Corp;0
SK Gaming;G2 Esports;0
Movistar KOI;SK Gaming;1
Fnatic;Team Heretics;1
G2 Esports;Team Vitality;1
GIANTX;Team BDS;1
Karmine Corp;Rogue;1
Fnatic;Team BDS;1
Team Vitality;Team BDS;1
SK Gaming;Team Heretics;0
Movistar KOI;GIANTX;1
G2 Esports;Fnatic;0
Movistar KOI;Fnatic;1
GIANTX;G2 Esports;1
Team Vitality;Movistar KOI;1
SK Gaming;Rogue;0
Team BDS;G2 Esports;1
Team Heretics;Team Vitality;1
Karmine Corp;GIANTX;1
Fnatic;Rogue;1
Team Heretics;Karmine Corp;0
GIANTX;SK Gaming;0
Team BDS;Movistar KOI;0
Team Vitality;Fnatic;0
Karmine Corp;SK Gaming;1
Rogue;G2 Esports;0
Team Heretics;Team BDS;1
Movistar KOI;Team Heretics;1
GIANTX;Rogue;1
Karmine Corp;Fnatic;0
Team BDS;SK Gaming;1
G2 Esports;Team Heretics;1
Team BDS;Karmine Corp;0
Rogue;Team Vitality;1
SK Gaming;Fnatic;1
Team BDS;Rogue;1
Karmine Corp;Movistar KOI;1
GIANTX;Team Vitality;0
G2 Esports;Movistar KOI;1
Rogue;Team Heretics;0
Fnatic;GIANTX;1
G2 Esports;Movistar KOI;0
Movistar KOI;Karmine Corp;1
Karmine Corp;Fnatic;1
Karmine Corp;Team Heretics;1
Fnatic;GIANTX;1
Movistar KOI;G2 Esports;0
Karmine Corp;Movistar KOI;0
Fnatic;G2 Esports;0
TT;Ninjas in Pyjamas;1
Team WE;Weibo Gaming;1
Bilibili Gaming;Invictus Gaming;1
Anyone s Legend;JD Gaming;0
Bilibili Gaming;Top Esports;1
Invictus Gaming;Funplus Phoenix;1
JD Gaming;Ninjas in Pyjamas;1
Weibo Gaming;Funplus Phoenix;1
Team WE;Anyone s Legend;0
TT;Top Esports;0
JD Gaming;Bilibili Gaming;1
Weibo Gaming;Top Esports;0
Invictus Gaming;Ninjas in Pyjamas;1
Funplus Phoenix;JD Gaming;0
Team WE;TT;1
Anyone s Legend;Ninjas in Pyjamas;1
Top Esports;Team WE;1
Weibo Gaming;JD Gaming;0
Invictus Gaming;JD Gaming;1
Bilibili Gaming;Ninjas in Pyjamas;1
Ninjas in Pyjamas;Funplus Phoenix;1
TT;Anyone s Legend;0
Top Esports;JD Gaming;1
Weibo Gaming;TT;0
LGD Gaming;Ultra Prime;1
Bilibili Gaming;Team WE;1
Anyone s Legend;Weibo Gaming;1
Edward Gaming;Royal Never Give Up;1
Invictus Gaming;Team WE;1
Funplus Phoenix;Anyone s Legend;1
Top Esports;Ninjas in Pyjamas;1
Funplus Phoenix;TT;1
Bilibili Gaming;Anyone s Legend;1
Ninjas in Pyjamas;Weibo Gaming;1
TT;Invictus Gaming;0
Team WE;JD Gaming;0
Bilibili Gaming;TT;1
Funplus Phoenix;Team WE;0
Anyone s Legend;Top Esports;1
OMG;Ultra Prime;1
Invictus Gaming;Top Esports;0
Bilibili Gaming;Funplus Phoenix;1
Ninjas in Pyjamas;Team WE;0
Bilibili Gaming;Weibo Gaming;1
Royal Never Give Up;OMG;1
Invictus Gaming;Anyone s Legend;0
Top Esports;Funplus Phoenix;1
Weibo Gaming;Invictus Gaming;1
JD Gaming;TT;1
Weibo Gaming;Bilibili Gaming;1
LGD Gaming;Edward Gaming;0
Bilibili Gaming;Funplus Phoenix;0
LNG Esports;Royal Never Give Up;1
Top Esports;JD Gaming;1
Weibo Gaming;Invictus Gaming;1
Ninjas in Pyjamas;Anyone s Legend;0
TT;JD Gaming;0
Ultra Prime;Edward Gaming;1
Ninjas in Pyjamas;Bilibili Gaming;0
Team WE;Funplus Phoenix;1
Anyone s Legend;JD Gaming;0
Weibo Gaming;Team WE;0
Top Esports;Ninjas in Pyjamas;1
OMG;LNG Esports;0
TT;Team WE;0
Royal Never Give Up;LGD Gaming;0
Team WE;Invictus Gaming;0
JD Gaming;Weibo Gaming;0
Funplus Phoenix;Ninjas in Pyjamas;1
Bilibili Gaming;Top Esports;0
LNG Esports;Ultra Prime;1
Anyone s Legend;Team WE;1
Edward Gaming;OMG;1
Invictus Gaming;JD Gaming;1
TT;Ninjas in Pyjamas;1
Weibo Gaming;Ninjas in Pyjamas;1
Team WE;Bilibili Gaming;0
Top Esports;Team WE;1
LGD Gaming;LNG Esports;1
Invictus Gaming;Ninjas in Pyjamas;0
TT;Anyone s Legend;0
JD Gaming;Funplus Phoenix;0
Ultra Prime;Royal Never Give Up;1
Anyone s Legend;Weibo Gaming;1
Top Esports;TT;1
Ninjas in Pyjamas;Team WE;1
Bilibili Gaming;JD Gaming;0
Invictus Gaming;TT;1
Funplus Phoenix;Weibo Gaming;1
Invictus Gaming;Top Esports;1
Anyone s Legend;Funplus Phoenix;1
Bilibili Gaming;Anyone s Legend;0
TT;Weibo Gaming;0
JD Gaming;Team WE;1
LGD Gaming;OMG;1
Anyone s Legend;Invictus Gaming;1
Funplus Phoenix;Top Esports;0
Top Esports;Weibo Gaming;1
Edward Gaming;LNG Esports;1
Bilibili Gaming;Invictus Gaming;1
TT;Funplus Phoenix;1
JD Gaming;Ninjas in Pyjamas;1
Anyone s Legend;Top Esports;0
TT;Bilibili Gaming;0
Funplus Phoenix;Invictus Gaming;0
Anyone s Legend;Bilibili Gaming;1
Bilibili Gaming;Invictus Gaming;1
