teamA;teamB;winA
Team WE;Funplus Phoenix;1
Bilibili Gaming;Top Esports;1
LNG Esports;Edward Gaming;0
JD Gaming;Anyone s Legend;0
LNG Esports;Ultra Prime;0
TT;LGD Gaming;0
Invictus Gaming;Weibo Gaming;1
Funplus Phoenix;JD Gaming;0
Weibo Gaming;Bilibili Gaming;0
Top Esports;Team WE;1
Anyone s Legend;Team WE;1
Funplus Phoenix;Invictus Gaming;1
Ultra Prime;LGD Gaming;0
Top Esports;JD Gaming;1
LGD Gaming;Edward Gaming;0
Anyone s Legend;Weibo Gaming;0
Bilibili Gaming;Funplus Phoenix;1
JD Gaming;Team WE;1
Anyone s Legend;Bilibili Gaming;0
Ninjas in Pyjamas;Ultra Prime;1
LGD Gaming;LNG Esports;1
Edward Gaming;Ninjas in Pyjamas;1
TT;LNG Esports;1
JD Gaming;Invictus Gaming;0
Team WE;Weibo Gaming;0
Funplus Phoenix;Top Esports;0
Invictus Gaming;Team WE;1
LGD Gaming;Ninjas in Pyjamas;0
LNG Esports;Ninjas in Pyjamas;0
Ultra Prime;TT;0
Weibo Gaming;Top Esports;0
Edward Gaming;TT;1
Top Esports;Invictus Gaming;1
Weibo Gaming;Funplus Phoenix;1
Edward Gaming;Ultra Prime;1
GIANTX;Karmine Corp;0
Team BDS;SK Gaming;1
Team Heretics;Fnatic;0
Natus Vincere;Karmine Corp;0
Nongshim RedForce;Gen.G eSports;0
DN Freecs;OK BRION;0
BNK FearX;DRX;0
T1;Hanwha Life eSports;1
Dplus KIA;DN Freecs;1
Gen.G eSports;KT Rolster;1
Nongshim RedForce;Hanwha Life eSports;0
BNK FearX;OK BRION;1
KT Rolster;T1;0
DRX;Dplus KIA;0
T1;Nongshim RedForce;1
DN Freecs;DRX;0
Hanwha Life eSports;KT Rolster;1
Dplus KIA;BNK FearX;1
OK BRION;DRX;1
T1;Gen.G eSports;1
KT Rolster;Nongshim RedForce;1
DN Freecs;BNK FearX;0
Gen.G eSports;Hanwha Life eSports;1
Dplus KIA;OK BRION;0
Disguised;Shopify Rebellion;0
Dignitas;Cloud9;0
LYON;Team Liquid;1
100 Thieves;FlyQuest;0
Shopify Rebellion;Dignitas;1
Team Liquid;100 Thieves;1
Cloud9;LYON;1
FlyQuest;Disguised;1
LOUD;RED Canids;0
Leviatan;Vivo Keyd Stars;0
Fluxo;Isurus;0
paiN Gaming;FURIA;1
LOUD;Vivo Keyd Stars;0
Isurus;RED Canids;0
paiN Gaming;Leviatan;1
FURIA;Fluxo;1
Team Secret Whales;GAM Esports;1
MGN Vikings Esports;Fukuoka SoftBank HAWKS gaming;1
PSG Talon;CTBC Flying Oyster;0
DetonatioN FocusMe;Chiefs Esports Club;1
GAM Esports;CTBC Flying Oyster;0
Fukuoka SoftBank HAWKS gaming;Chiefs Esports Club;1
PSG Talon;Team Secret Whales;0
MGN Vikings Esports;DetonatioN FocusMe;1
Besiktas Esports;Papara SuperMassive;1
BoostGate Esports;Bushido Wildcats;0
Misa Esports;BBL Dark Passage;1
The Forbidden Five;ULF Esports;0
Besiktas Esports;ULF Esports;0
The Forbidden Five;Misa Esports;0
Bushido Wildcats;BBL Dark Passage;1
Papara SuperMassive;BoostGate Esports;1
Misa Esports;Bushido Wildcats;0
BoostGate Esports;ULF Esports;0
BBL Dark Passage;Papara SuperMassive;1
Besiktas Esports;The Forbidden Five;1
Papara SuperMassive;Bushido Wildcats;1
BoostGate Esports;The Forbidden Five;1
ULF Esports;BBL Dark Passage;1
Misa Esports;Besiktas Esports;1
Besiktas Esports;BoostGate Esports;1
The Forbidden Five;BBL Dark Passage;0
ULF Esports;Bushido Wildcats;0
Misa Esports;Papara SuperMassive;0
ULF Esports;Papara SuperMassive;0
Bushido Wildcats;The Forbidden Five;1
Besiktas Esports;BBL Dark Passage;0
Misa Esports;BoostGate Esports;1
Gentle Mates;Galions;0
BK ROG Esports;Solary;0
Galions;Team BDS Academy;1
Joblife;Solary;0
BK ROG Esports;GameWard;1
Vitality.Bee;Ici Japon Corp. Esport;1
Ici Japon Corp. Esport;Karmine Corp Blue;0
Gentle Mates;Vitality.Bee;1
Vitality.Bee;Solary;1
Gentle Mates;GameWard;1
Ici Japon Corp. Esport;Galions;0
Karmine Corp Blue;Solary;0
GameWard;Team BDS Academy;0
BK ROG Esports;Joblife;0
Karmine Corp Blue;Joblife;1
Team BDS Academy;BK ROG Esports;0
UCAM Esports;LUA Gaming;1
Los Heretics;Ramboot Club;1
Movistar KOI Fénix;Guasones;1
ZETA;GIANTX Pride;1
Barça eSports;Veni Vidi Vici;0
Veni Vidi Vici;ZETA;1
GIANTX Pride;Movistar KOI Fénix;1
LUA Gaming;Barça eSports;1
Ramboot Club;UCAM Esports;1
Los Heretics;Guasones;1
UCAM Esports;Los Heretics;1
Barça eSports;Ramboot Club;1
ZETA;LUA Gaming;0
Movistar KOI Fénix;Veni Vidi Vici;0
GIANTX Pride;Guasones;1
Veni Vidi Vici;GIANTX Pride;0
LUA Gaming;Movistar KOI Fénix;1
Ramboot Club;ZETA;1
Los Heretics;Barça eSports;1
Guasones;UCAM Esports;0
Barça eSports;UCAM Esports;0
ZETA;Los Heretics;0
Movistar KOI Fénix;Ramboot Club;1
GIANTX Pride;LUA Gaming;1
Veni Vidi Vici;Guasones;1
Guasones;Barça eSports;1
LUA Gaming;Veni Vidi Vici;1
Los Heretics;Movistar KOI Fénix;1
UCAM Esports;ZETA;1
Ramboot Club;GIANTX Pride;1
Veni Vidi Vici;Ramboot Club;0
GIANTX Pride;Los Heretics;1
Movistar KOI Fénix;UCAM Esports;1
ZETA;Barça eSports;0
LUA Gaming;Guasones;1
Veni Vidi Vici;Los Heretics;0
Barça eSports;Movistar KOI Fénix;0
UCAM Esports;GIANTX Pride;0
Ramboot Club;LUA Gaming;1
ZETA;Guasones;1
Veni Vidi Vici;UCAM Esports;1
GIANTX Pride;Barça eSports;1
Los Heretics;LUA Gaming;1
Ramboot Club;Guasones;1
Movistar KOI Fénix;ZETA;1
Austrian Force Willhaben;Berlin International Gaming;0
TeamOrangeGaming;ROSSMANN Centaurs;0
Berlin International Gaming;Eintracht Frankfurt;1
CGN Esports;WEEK5;1
E WIE EINFACH E-SPORTS;Kaufland Hangry Knights;1
Unicorns of Love Sexy Edition;TeamOrangeGaming;0
TeamOrangeGaming;Kaufland Hangry Knights;1
Austrian Force Willhaben;ROSSMANN Centaurs;1
Berlin International Gaming;CGN Esports;1
ROSSMANN Centaurs;E WIE EINFACH E-SPORTS;1
Eintracht Frankfurt;Austrian Force Willhaben;1
Unicorns of Love Sexy Edition;Eintracht Spandau;1
Berlin International Gaming;E WIE EINFACH E-SPORTS;1
Eintracht Frankfurt;ROSSMANN Centaurs;0
Kaufland Hangry Knights;CGN Esports;0
Austrian Force Willhaben;Unicorns of Love Sexy Edition;0
TeamOrangeGaming;Eintracht Spandau;1
ROSSMANN Centaurs;Berlin International Gaming;0
Kaufland Hangry Knights;Unicorns of Love Sexy Edition;1
E WIE EINFACH E-SPORTS;Austrian Force Willhaben;0
Eintracht Frankfurt;Eintracht Spandau;1
TeamOrangeGaming;CGN Esports;1
