GP_A;AGT_A;KD_A;CKPM_A;GPR_A;GSPD_A;EGR_A;MLR_A;GD15_A;FB%_A;FT%_A;F3T%_A;PPG_A;HLD%_A;GRB%_A;FD%_A;DRG%_A;ELD%_A;FBN%_A;BN%_A;LNE%_A;JNG%_A;WPM_A;CWPM_A;WCPM_A;winrate%_A;GP_B;AGT_B;KD_B;CKPM_B;GPR_B;GSPD_B;EGR_B;MLR_B;GD15_B;FB%_B;FT%_B;F3T%_B;PPG_B;HLD%_B;GRB%_B;FD%_B;DRG%_B;ELD%_B;FBN%_B;BN%_B;LNE%_B;JNG%_B;WPM_B;CWPM_B;WCPM_B;winrate%_B;teamA;teamB;date;tournament;teamA_win
7.0;35.8;0.89;0.88;;0.003;;;;0.29;0.57;;;0.43;0.43;0.29;0.33;;;0.3;0.509;0.529;3.32;1.31;1.61;0.5714285714285714;6.0;33.1;1.11;1.04;;0.023;;;;0.5;0.5;;;0.67;0.64;0.5;0.74;;;0.5;0.495;0.495;3.27;1.34;1.63;0.5;Top Esports;LGD Gaming;2025-02-16;LPL 2025 Split 1;1
7.0;33.7;0.56;0.78;;-0.0969999999999999;;;;0.14;0.29;;;0.43;0.43;0.71;0.42;;;0.29;0.502;0.445;3.17;1.28;1.49;0.1428571428571428;8.0;33.5;1.0;0.81;;0.019;;;;0.25;0.63;;;0.75;0.46;0.75;0.53;;;0.38;0.51;0.487;3.22;1.29;1.66;0.5;FunPlus Phoenix;Invictus Gaming;2025-02-15;LPL 2025 Split 1;0
6.0;31.4;2.48;0.81;;0.098;;;;0.5;0.83;;;0.33;0.56;0.5;0.8;;;0.8;0.516;0.521;3.38;1.31;1.81;1.0;8.0;33.3;1.31;0.89;;0.059;;;;0.63;0.5;;;0.63;0.5;0.63;0.66;;;0.75;0.503;0.5329999999999999;3.43;1.51;1.6;0.75;Bilibili Gaming;ThunderTalk Gaming;2025-02-14;LPL 2025 Split 1;0
8.0;35.0;1.01;0.73;;0.001;;;;0.63;0.63;;;0.25;0.48;0.25;0.37;;;0.55;0.497;0.508;3.39;1.33;1.49;0.5;7.0;31.9;1.71;0.87;;0.074;;;;1.0;0.43;;;0.57;0.64;0.29;0.71;;;1.0;0.491;0.561;3.07;1.15;1.48;0.8571428571428571;Royal Never Give Up;Ninjas in Pyjamas;2025-02-13;LPL 2025 Split 1;0
7.0;31.6;0.59;0.89;;-0.099;;;;0.43;0.43;;;0.29;0.31;0.29;0.43;;;0.71;0.484;0.486;3.33;1.52;1.57;0.1428571428571428;8.0;30.8;0.71;0.89;;-0.099;;;;0.25;0.5;;;0.5;0.54;0.38;0.43;;;0.57;0.485;0.47;3.31;1.24;1.35;0.25;Ultra Prime;Oh My God;2025-02-12;LPL 2025 Split 1;0
7.0;32.5;0.63;0.91;;-0.066;;;;0.57;0.29;;;0.43;0.45;0.43;0.29;;;0.25;0.489;0.4679999999999999;3.43;1.39;1.38;0.1428571428571428;7.0;32.4;0.57;0.81;;-0.085;;;;0.29;0.43;;;0.57;0.5;0.43;0.28;;;0.22;0.493;0.476;3.33;1.26;1.37;0.1428571428571428;EDward Gaming;LNG Esports;2025-02-11;LPL 2025 Split 1;1
6.0;32.1;0.49;0.9;;-0.113;;;;0.5;0.5;;;0.33;0.47;0.33;0.26;;;0.29;0.485;0.4579999999999999;3.43;1.45;1.38;0.0;7.0;36.6;1.65;0.99;;0.075;;;;0.71;0.43;;;0.57;0.48;0.86;0.67;;;0.82;0.508;0.511;3.44;1.36;1.66;0.8571428571428571;Team WE;Anyone's Legend;2025-02-10;LPL 2025 Split 1;0
8.0;30.8;1.62;0.84;;0.092;;;;0.63;0.38;;;0.5;0.56;0.75;0.61;;;0.13;0.518;0.514;3.47;1.24;1.35;0.75;7.0;31.6;1.41;0.94;;0.107;;;;0.71;0.71;;;0.71;0.57;0.57;0.54;;;0.67;0.513;0.5329999999999999;3.4;1.28;1.66;0.8571428571428571;JD Gaming;Weibo Gaming;2025-02-09;LPL 2025 Split 1;1
16.0;33.9;1.26;0.86;;0.02;;;;0.56;0.56;;;0.38;0.52;0.44;0.59;;;0.37;0.507;0.509;3.41;1.39;1.57;0.75;10.0;32.7;1.35;0.8;;0.011;;;;0.4;0.5;;;0.4;0.53;0.4;0.54;;;0.64;0.501;0.481;3.34;1.39;1.49;0.6;Top Esports;Anyone's Legend;2025-03-01;LPL 2025 Split 1 Playoffs;1
9.0;33.8;0.95;0.76;;0.051;;;;0.44;0.56;;;0.78;0.37;0.56;0.53;;;0.46;0.512;0.5379999999999999;3.69;1.38;1.5;0.5555555555555556;12.0;34.2;1.13;0.92;;0.002;;;;0.42;0.58;;;0.33;0.5;0.25;0.55;;;0.33;0.508;0.506;3.41;1.4;1.52;0.75;JD Gaming;Top Esports;2025-02-27;LPL 2025 Split 1 Playoffs;0
