match_id_A;game_in_series_A;teamA;teamB;teamA_win_A;date_A;split_x_A;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;split_y_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B;split_B
spring_0;1;Ultra Prime;Team WE;1;2025-03-31;2;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0;CN;75.0;45.3%;0.91;1840.0;-51.0;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204.0;-;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2.0
spring_0;2;Ultra Prime;Team WE;0;2025-03-31;2;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0;CN;75.0;45.3%;0.91;1840.0;-51.0;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204.0;-;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2.0
spring_0;3;Ultra Prime;Team WE;0;2025-03-31;2;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0;CN;75.0;45.3%;0.91;1840.0;-51.0;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204.0;-;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2.0
spring_1;1;Team WE;LGD Gaming;1;2025-03-31;2;CN;75.0;45.3%;0.91;1840.0;-51.0;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204.0;-;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2.0;CN;26.0;46.2%;0.96;1835.0;-28.0;32:43;15.0;15.6;5.5;6.5;38.5;50.0;34.6;2.12;47.0;2.8;38.5;-;-;-;-385.0;-;0.54;48.6;32.6;2701.0;3.1;1.18;1.54;2.0
spring_1;2;Team WE;LGD Gaming;1;2025-03-31;2;CN;75.0;45.3%;0.91;1840.0;-51.0;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204.0;-;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2.0;CN;26.0;46.2%;0.96;1835.0;-28.0;32:43;15.0;15.6;5.5;6.5;38.5;50.0;34.6;2.12;47.0;2.8;38.5;-;-;-;-385.0;-;0.54;48.6;32.6;2701.0;3.1;1.18;1.54;2.0
spring_2;1;Funplus Phoenix;Ultra Prime;1;2025-03-30;2;CN;68.0;41.2%;0.91;1835.0;-79.0;32:42;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;-;-;-;-328.0;-;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;2.0;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0
spring_2;2;Funplus Phoenix;Ultra Prime;1;2025-03-30;2;CN;68.0;41.2%;0.91;1835.0;-79.0;32:42;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;-;-;-;-328.0;-;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;2.0;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0
spring_2;3;Funplus Phoenix;Ultra Prime;0;2025-03-30;2;CN;68.0;41.2%;0.91;1835.0;-79.0;32:42;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;-;-;-;-328.0;-;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;2.0;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0
spring_3;1;Team WE;Ultra Prime;0;2025-03-30;2;CN;75.0;45.3%;0.91;1840.0;-51.0;32:22;15.0;16.5;5.4;6.4;61.3;53.3;48.0;2.27;50.7;2.1;41.3;-;-;-;-204.0;-;0.55;49.5;33.3;2646.0;3.3;1.31;1.58;2.0;CN;28.0;42.9%;0.96;1779.0;-47.0;33:01;12.6;13.1;5.1;5.9;60.7;39.3;39.3;2.18;48.6;2.4;57.1;-;-;-;-160.0;-;0.61;52.0;33.3;2364.0;3.7;1.47;1.4;2.0
spring_4;1;LGD Gaming;Funplus Phoenix;0;2025-03-30;2;CN;26.0;46.2%;0.96;1835.0;-28.0;32:43;15.0;15.6;5.5;6.5;38.5;50.0;34.6;2.12;47.0;2.8;38.5;-;-;-;-385.0;-;0.54;48.6;32.6;2701.0;3.1;1.18;1.54;2.0;CN;68.0;41.2%;0.91;1835.0;-79.0;32:42;15.4;17.0;5.5;6.5;45.6;42.6;25.0;2.09;44.4;2.2;51.5;-;-;-;-328.0;-;0.44;35.1;33.1;2548.0;3.4;1.36;1.5;2.0
