match_id;game_in_series;teamA;teamB;teamA_win;date;split;Region_A;Games_A;Win rate_A;K:D_A;GPM_A;GDM_A;Game duration_A;Kills / game_A;Deaths / game_A;Towers killed_A;Towers lost_A;FB%_A;FT%_A;FOS%_A;DRAPG_A;DRA%_A;VGPG_A;HER%_A;ATAKHAN%_A;DRA@15_A;TD@15_A;GD@15_A;PPG_A;NASHPG_A;NASH%_A;CSM_A;DPM_A;WPM_A;VWPM_A;WCPM_A;Region_B;Games_B;Win rate_B;K:D_B;GPM_B;GDM_B;Game duration_B;Kills / game_B;Deaths / game_B;Towers killed_B;Towers lost_B;FB%_B;FT%_B;FOS%_B;DRAPG_B;DRA%_B;VGPG_B;HER%_B;ATAKHAN%_B;DRA@15_B;TD@15_B;GD@15_B;PPG_B;NASHPG_B;NASH%_B;CSM_B;DPM_B;WPM_B;VWPM_B;WCPM_B
winter_0;1;Top Esports;LGD Gaming;1;2025-02-16;1;CN;41.0;58.5%;0.96;1845.0;38.0;33:10;15.3;15.9;6.5;5.2;46.3;53.7;48.8;1.98;47.8;3.4;51.2;9.8;0.64;-0.1;316.0;4.00;0.37;38.9;33.0;2884.0;3.3;1.35;1.59;CN;9.0;33.3%;1.0;1814.0;-48.0;33:48;16.9;16.9;5.1;6.0;44.4;33.3;22.2;2.78;67.4;3.2;55.6;-;-;-;166.0;-;0.56;54.2;31.4;2556.0;3.2;1.29;1.53
winter_0;2;Top Esports;LGD Gaming;1;2025-02-16;1;CN;41.0;58.5%;0.96;1845.0;38.0;33:10;15.3;15.9;6.5;5.2;46.3;53.7;48.8;1.98;47.8;3.4;51.2;9.8;0.64;-0.1;316.0;4.00;0.37;38.9;33.0;2884.0;3.3;1.35;1.59;CN;9.0;33.3%;1.0;1814.0;-48.0;33:48;16.9;16.9;5.1;6.0;44.4;33.3;22.2;2.78;67.4;3.2;55.6;-;-;-;166.0;-;0.56;54.2;31.4;2556.0;3.2;1.29;1.53
winter_0;3;Top Esports;LGD Gaming;1;2025-02-16;1;CN;41.0;58.5%;0.96;1845.0;38.0;33:10;15.3;15.9;6.5;5.2;46.3;53.7;48.8;1.98;47.8;3.4;51.2;9.8;0.64;-0.1;316.0;4.00;0.37;38.9;33.0;2884.0;3.3;1.35;1.59;CN;9.0;33.3%;1.0;1814.0;-48.0;33:48;16.9;16.9;5.1;6.0;44.4;33.3;22.2;2.78;67.4;3.2;55.6;-;-;-;166.0;-;0.56;54.2;31.4;2556.0;3.2;1.29;1.53
winter_1;1;Funplus Phoenix;Invictus Gaming;0;2025-02-15;1;CN;10.0;10.0%;0.52;1722.0;-281.0;32:01;9.7;18.6;4.1;9.1;30.0;20.0;10.0;1.6;34.7;2.5;60.0;-;-;-;-2015.0;-;0.2;28.6;32.1;2164.0;3.1;1.27;1.4;CN;15.0;53.3%;1.16;1859.0;81.0;33:11;16.2;14.0;6.1;4.9;40.0;46.7;60.0;2.33;58.4;2.9;66.7;-;-;-;353.0;-;0.53;50.0;32.5;2765.0;3.2;1.2;1.62
winter_1;2;Funplus Phoenix;Invictus Gaming;0;2025-02-15;1;CN;10.0;10.0%;0.52;1722.0;-281.0;32:01;9.7;18.6;4.1;9.1;30.0;20.0;10.0;1.6;34.7;2.5;60.0;-;-;-;-2015.0;-;0.2;28.6;32.1;2164.0;3.1;1.27;1.4;CN;15.0;53.3%;1.16;1859.0;81.0;33:11;16.2;14.0;6.1;4.9;40.0;46.7;60.0;2.33;58.4;2.9;66.7;-;-;-;353.0;-;0.53;50.0;32.5;2765.0;3.2;1.2;1.62
winter_1;3;Funplus Phoenix;Invictus Gaming;0;2025-02-15;1;CN;10.0;10.0%;0.52;1722.0;-281.0;32:01;9.7;18.6;4.1;9.1;30.0;20.0;10.0;1.6;34.7;2.5;60.0;-;-;-;-2015.0;-;0.2;28.6;32.1;2164.0;3.1;1.27;1.4;CN;15.0;53.3%;1.16;1859.0;81.0;33:11;16.2;14.0;6.1;4.9;40.0;46.7;60.0;2.33;58.4;2.9;66.7;-;-;-;353.0;-;0.53;50.0;32.5;2765.0;3.2;1.2;1.62
winter_2;1;Bilibili Gaming;TT;1;2025-02-14;1;CN;23.0;65.2%;1.35;1911.0;148.0;30:57;16.6;12.2;7.0;4.8;47.8;73.9;39.1;2.39;58.6;2.9;26.1;-;-;-;646.0;-;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;CN;21.0;52.4%;1.0;1835.0;-10.0;31:12;14.8;14.8;5.9;6.0;61.9;33.3;42.9;2.29;54.4;3.3;71.4;-;-;-;-223.0;-;0.62;50.8;32.3;2632.0;3.3;1.37;1.41
winter_2;2;Bilibili Gaming;TT;1;2025-02-14;1;CN;23.0;65.2%;1.35;1911.0;148.0;30:57;16.6;12.2;7.0;4.8;47.8;73.9;39.1;2.39;58.6;2.9;26.1;-;-;-;646.0;-;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;CN;21.0;52.4%;1.0;1835.0;-10.0;31:12;14.8;14.8;5.9;6.0;61.9;33.3;42.9;2.29;54.4;3.3;71.4;-;-;-;-223.0;-;0.62;50.8;32.3;2632.0;3.3;1.37;1.41
winter_2;3;Bilibili Gaming;TT;0;2025-02-14;1;CN;23.0;65.2%;1.35;1911.0;148.0;30:57;16.6;12.2;7.0;4.8;47.8;73.9;39.1;2.39;58.6;2.9;26.1;-;-;-;646.0;-;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;CN;21.0;52.4%;1.0;1835.0;-10.0;31:12;14.8;14.8;5.9;6.0;61.9;33.3;42.9;2.29;54.4;3.3;71.4;-;-;-;-223.0;-;0.62;50.8;32.3;2632.0;3.3;1.37;1.41
winter_2;4;Bilibili Gaming;TT;0;2025-02-14;1;CN;23.0;65.2%;1.35;1911.0;148.0;30:57;16.6;12.2;7.0;4.8;47.8;73.9;39.1;2.39;58.6;2.9;26.1;-;-;-;646.0;-;0.65;71.1;33.4;2638.0;3.3;1.25;1.51;CN;21.0;52.4%;1.0;1835.0;-10.0;31:12;14.8;14.8;5.9;6.0;61.9;33.3;42.9;2.29;54.4;3.3;71.4;-;-;-;-223.0;-;0.62;50.8;32.3;2632.0;3.3;1.37;1.41
