Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
1116; TW;41;68.3%;3.8;6.6;3.9;8.3;8.4;459;64.4%;26.8;904;0.92;0.37;0.17;0.15;787;14;354;22%;4.9%;0;36
113; TR;21;38.1%;2.9;2.4;3.6;8.2;5.8;333;73.6%;17.4;452;1.26;0.27;0.3;0.23;159;-0;12;52.4%;0%;0;3
13; FR;14;35.7%;3.1;5.7;3.4;5.1;8.4;433;70%;27.0;733;1.01;0.39;0.25;0.08;169;-12;-366;28.6%;14.3%;0;3
1CE; MX;3;33.3%;2.2;1.7;3.0;5.0;8.6;377;37.8%;27.6;515;0.6;0.35;0.1;0.11;-615;4;-7;0%;0%;0;-
1Jiang; TW;28;42.9%;3.1;2.4;2.6;5.8;7.9;380;59.4%;23.5;552;1.03;0.41;0.17;0.23;-22;-;-;-;-;-;-
1xn; CN;52;28.8%;2.5;3.1;2.9;4.3;9.2;415;67.4%;25.7;634;1.12;0.36;0.35;0.1;-187;-;-;-;-;-;-
2274; TW;32;40.6%;1.9;0.9;5.6;9.4;1.0;250;60.7%;8.4;241;3.55;2.08;0.38;0.66;-284;-5;-114;21.9%;18.8%;0;1
369; CN;64;65.6%;3.4;3.0;2.8;6.3;8.3;408;56.1%;22.6;651;0.96;0.39;0.17;0.13;348;-;-;-;-;-;-
3XA; FR;40;60%;6.1;5.1;2.0;6.8;10.0;466;70.2%;28.0;766;1.3;0.45;0.36;0.12;117;6;111;30%;10%;0;6
5t5; CN;5;20%;1.0;1.0;3.8;2.8;6.7;320;69.8%;12.5;254;1.52;0.28;0.38;0.28;-327;-;-;-;-;-;-
665; TW;46;69.6%;4.7;5.3;3.3;10.3;6.7;403;64.1%;18.2;599;1.32;0.32;0.25;0.27;272;9;379;41.3%;6.5%;0;7
6onza; AR;5;20%;2.3;2.4;2.6;3.6;8.4;367;57.5%;26.7;600;1.26;0.5;0.31;0.32;-708;-17;-361;0%;0%;0;-
AKLASS; KW;37;45.9%;3.2;5.1;3.2;5.4;8.8;429;56.1%;23.7;674;0.87;0.33;0.21;0.08;201;1;24;21.6%;2.7%;1;2
AKi; CN;54;35.2%;2.5;2.8;3.9;7.0;6.1;343;68.7%;16.0;417;1.32;0.25;0.29;0.18;-304;-;-;-;-;-;-
APA; US;26;53.8%;3.8;3.3;2.4;5.6;8.7;412;69.2%;28.8;706;1.31;0.58;0.23;0.22;93;-2;25;26.9%;7.7%;0;4
APP; RS;24;58.3%;3.0;2.4;2.8;6.1;7.8;383;43.4%;21.8;595;0.7;0.24;0.11;0.08;-138;-3;-178;16.7%;4.2%;0;6
Aadam; CA;22;18.2%;1.6;2.6;4.3;4.4;8.2;386;65.2%;27.7;640;0.73;0.26;0.18;0.1;-463;-9;-218;18.2%;18.2%;0;5
Abagnale; TR;22;54.5%;3.0;0.6;4.0;11.2;1.1;245;73.6%;6.4;168;3.13;1.8;0.32;0.14;-104;0;-85;13.6%;18.2%;0;-
Abbedagge; DE;15;6.7%;1.1;2.3;4.6;2.7;8.5;380;65.2%;26.5;602;1.16;0.5;0.21;0.23;-438;-8;-471;0%;13.3%;0;8
About; KR;44;50%;3.8;5.0;2.9;6.0;9.9;465;73.6%;29.1;840;1.28;0.49;0.35;0.17;318;10;187;29.5%;15.9%;2;4
Ace2; US;3;33.3%;1.4;5.3;6.3;3.7;7.0;390;54.2%;24.5;527;0.56;0.28;0.14;0.0;-489;-22;-431;66.7%;0%;0;-
Ackerman; AR;28;46.4%;3.6;0.6;2.8;9.2;1.2;241;67.7%;8.3;223;3.51;1.74;0.41;0.48;-100;0;34;14.3%;7.1%;0;-
Adam; FR;20;25%;2.9;4.0;3.0;4.5;8.3;406;64.9%;25.8;634;1.02;0.4;0.2;0.16;315;3;-16;20%;10%;0;6
Addusto; DE;17;29.4%;2.6;3.1;3.6;6.6;8.2;387;53.3%;24.6;658;0.79;0.32;0.09;0.08;202;12;67;17.6%;17.6%;0;13
Adiogs; TW;40;42.5%;3.1;5.1;4.7;9.4;7.6;404;66%;25.8;833;0.93;0.42;0.15;0.14;-200;-11;-374;20%;10%;0;20
Advienne; NL;3;66.7%;3.6;2.0;5.7;18.7;0.4;254;72.7%;8.0;268;2.89;1.29;0.24;0.35;-201;-6;-234;66.7%;0%;0;-
Aegis; BR;14;50%;3.9;3.2;2.9;8.0;6.3;359;70.1%;13.5;364;1.25;0.23;0.29;0.21;-8;-0;70;35.7%;0%;0;-
Aeru; TN;37;48.6%;2.8;5.2;3.8;5.5;8.2;422;62.7%;22.7;661;0.73;0.32;0.15;0.06;-152;-3;58;24.3%;16.2%;0;9
Aetinoth; TR;29;69%;5.4;6.2;2.2;5.6;9.5;472;67.6%;27.3;780;1.1;0.44;0.3;0.1;0;-5;-42;34.5%;10.3%;0;8
Afriibi; LV;29;69%;5.3;5.3;2.4;7.5;9.3;463;71.4%;29.4;841;0.77;0.3;0.2;0.05;230;7;349;10.3%;13.8%;0;10
Afroboi; DE;25;44%;2.9;3.2;3.4;6.8;6.9;368;61.4%;17.5;442;1.03;0.15;0.27;0.14;172;6;288;28%;4%;0;1
Agresivoo; PL;22;50%;2.5;3.9;3.5;5.0;8.0;401;51.4%;23.1;659;0.89;0.43;0.13;0.11;138;2;-85;27.3%;13.6%;0;11
Agurin; DE;39;66.7%;3.5;4.3;3.9;9.5;7.5;416;72.8%;21.8;658;1.33;0.27;0.3;0.14;372;16;691;35.9%;5.1%;0;10
Ahn; CN;24;41.7%;3.6;3.5;2.5;5.8;9.2;419;65.7%;28.3;701;1.19;0.44;0.33;0.13;149;-;-;-;-;-;-
Aiming; KR;52;48.1%;6.0;4.1;1.7;6.1;9.7;445;70.2%;26.5;684;1.31;0.44;0.39;0.12;77;4;17;11.5%;9.6%;1;4
AisyL; VN;4;75%;3.8;6.0;3.5;7.3;9.1;445;58.2%;24.5;734;1.18;0.42;0.25;0.21;570;12;628;0%;25%;0;-
Aithusa; BR;16;62.5%;3.5;2.8;2.3;5.1;8.1;396;64.7%;23.0;550;1.03;0.42;0.21;0.19;-141;-11;-213;31.3%;0%;0;1
Aitlade; FR;9;44.4%;3.2;4.9;3.2;5.4;8.1;416;58%;24.2;663;0.58;0.27;0.11;0.05;-312;-2;-125;22.2%;22.2%;0;-
Ajwad; SA;16;50%;4.2;4.6;3.2;8.8;6.5;374;77%;17.4;477;1.08;0.21;0.25;0.14;9;-1;28;31.3%;12.5%;0;-
Alan; FR;8;50%;3.8;4.0;2.9;7.0;8.4;412;57.6%;24.7;687;0.97;0.26;0.22;0.09;267;11;362;0%;0%;0;4
Alba; PT;1;0%;2.1;8.0;7.0;7.0;7.4;387;78.9%;31.0;1052;0.73;0.05;0.2;0.05;-213;23;1;0%;0%;0;-
Ale; CN;57;61.4%;3.6;2.8;2.8;7.1;8.0;395;59.7%;21.6;569;1.01;0.44;0.15;0.16;-70;-;-;-;-;-;-
Alex; TW;6;16.7%;1.8;2.3;2.7;2.5;8.2;355;39.2%;22.4;463;0.9;0.31;0.13;0.09;-217;-3;-43;16.7%;0%;0;1
Alex234; DE;14;14.3%;1.5;1.3;4.4;5.3;5.4;307;68%;14.3;308;1.31;0.3;0.28;0.21;-370;-14;-703;35.7%;14.3%;0;-
Alitan; MX;3;33.3%;2.8;4.0;4.0;7.0;5.7;366;74.8%;17.9;375;1.23;0.3;0.23;0.24;-729;-16;-566;0%;0%;0;2
Alix; TR;22;63.6%;3.6;5.4;3.5;7.3;8.5;449;64%;27.1;807;0.82;0.28;0.19;0.08;158;1;-27;40.9%;18.2%;0;13
AlluK; AR;11;36.4%;2.5;2.4;3.7;6.9;5.8;337;78.2%;17.0;427;1.29;0.34;0.24;0.32;45;-3;1;18.2%;27.3%;0;1
Alvanai; AL;23;30.4%;2.5;4.1;4.0;5.9;8.6;418;62%;24.8;637;0.88;0.34;0.17;0.08;-238;3;-46;26.1%;8.7%;0;6
Alvaro; ES;48;54.2%;3.8;0.7;2.9;10.3;1.1;248;78.3%;7.9;186;3.72;1.98;0.44;0.5;32;-0;70;41.7%;14.6%;0;-
Andariel; TR;16;43.8%;3.3;4.7;3.1;5.5;8.1;414;74.5%;25.1;721;0.95;0.41;0.2;0.14;386;5;57;50%;6.3%;0;1
Andathy; MX;12;16.7%;2.1;3.0;5.2;7.8;5.8;339;61.6%;16.1;438;1.1;0.25;0.24;0.21;-11;-6;-282;16.7%;8.3%;0;-
Andil; KR;41;43.9%;2.5;0.5;4.0;9.5;0.9;236;67.4%;7.9;199;3.29;1.71;0.37;0.43;-115;0;-60;26.8%;7.3%;0;1
Andreus; MX;3;33.3%;2.6;4.3;3.3;4.3;8.5;385;60.1%;28.7;684;0.8;0.31;0.23;0.02;-124;-12;-169;0%;0%;0;1
Angel; CN;24;41.7%;4.3;2.7;2.0;6.1;8.4;386;63.5%;25.4;629;1.35;0.47;0.31;0.23;-26;-;-;-;-;-;-
