Player;Country;Games;Win rate;KDA;Avg kills;Avg deaths;Avg assists;CSM;GPM;KP%;DMG%;DPM;VSPM;Avg WPM;Avg WCPM;Avg VWPM;GD@15;CSD@15;XPD@15;FB %;FB Victim;Penta Kills;Solo Kills
1Jiang; TW;14;35.7%;2.1;2.1;3.0;4.3;7.8;372;60%;26.2;532;1.08;0.44;0.15;0.24;112;-;-;-;-;-;-
1xn; CN;9;44.4%;5.1;4.6;2.0;5.7;9.8;462;79.3%;31.8;703;1.12;0.36;0.35;0.06;372;-;-;-;-;-;-
369; CN;15;66.7%;3.6;2.5;2.7;7.1;7.8;377;52.3%;19.5;544;0.95;0.38;0.13;0.18;-107;-;-;-;-;-;-
AKi; CN;9;44.4%;3.4;3.1;2.9;6.8;6.8;367;78.3%;14.3;322;1.57;0.3;0.38;0.23;-50;-;-;-;-;-;-
APA; US;5;60%;3.4;1.6;3.0;8.6;8.1;391;60.7%;23.2;629;1.17;0.52;0.19;0.18;-233;-6;-225;0%;20%;0;1
Abbedagge; DE;2;0%;1.9;1.5;4.0;6.0;9.0;399;46.8%;28.5;641;1.19;0.5;0.23;0.24;66;17;298;50%;0%;0;-
Adam; FR;2;0%;0.4;1.5;4.5;0.5;7.5;334;33.3%;22.4;436;0.79;0.43;0.05;0.09;-792;-13;-595;0%;0%;0;-
Ahn; CN;10;100%;11.5;5.4;1.2;8.4;9.1;468;74.9%;29.1;757;1.42;0.43;0.46;0.12;461;-;-;-;-;-;-
Aiming; KR;10;70%;10.4;4.5;1.2;8.0;10.0;466;82.6%;30.1;834;1.19;0.4;0.35;0.1;279;8;15;10%;0%;0;3
Alvaro; ES;6;50%;2.5;0.3;3.7;9.0;1.1;248;62.8%;7.0;166;3.85;1.81;0.58;0.45;-52;-1;-109;0%;0%;0;-
Andil; KR;12;50%;3.0;0.6;4.1;11.6;1.0;241;80.4%;7.6;207;3.48;1.75;0.41;0.46;33;1;1;75%;8.3%;0;-
Angel; CN;10;100%;17.4;3.4;0.7;8.8;9.2;433;65.1%;25.6;655;1.21;0.37;0.29;0.18;405;-;-;-;-;-;-
Aress; VN;2;0%;2.0;0.5;2.0;3.5;8.1;345;44.3%;26.9;613;1.06;0.4;0.22;0.17;184;-9;-287;50%;0%;0;1
