vs  teamA   scoreA  scoreB  teamB   round   patch   date
GEN vs AL	Gen.G eSports	3   2	Anyone s Legend	FINALS	15.13	2025-07-20
G2 Esports vs T1	T1	2   0	G2 Esports	3RD.PALCE	15.13	2025-07-20
GEN vs G2 Esports	G2 Esports	1   2	Gen.G eSports	SEMIFINALS	15.13	2025-07-19
AL vs T1	Anyone s Legend	2   0	T1	SEMIFINALS	15.13	2025-07-19
GEN vs FlyQuest	FlyQuest	0   2	Gen.G eSports	QUARTERFINALS	15.13	2025-07-18
T1 vs MKOI	T1	2   1	Movistar KOI	QUARTERFINALS	15.13	2025-07-18
BLG vs G2 Esports	G2 Esports	2   1	Bilibili Gaming	QUARTERFINALS	15.13	2025-07-17
AL vs HLE	Anyone s Legend	2   1	Hanwha Life eSports	QUARTERFINALS	15.13	2025-07-17
FlyQuest vs FURIA	FlyQuest	1   0	FURIA	GROUPSTAGE	15.13	2025-07-17
MKOI vs CFO	Movistar KOI	1   0	CTBC Flying Oyster	GROUPSTAGE	15.13	2025-07-17
Cloud9 vs FURIA	Cloud9	0   1	FURIA	GROUPSTAGE	15.13	2025-07-16
CFO vs GAM Esports	GAM Esports	0   1	CTBC Flying Oyster	GROUPSTAGE	15.13	2025-07-16
FlyQuest vs G2 Esports	FlyQuest	0   1	G2 Esports	GROUPSTAGE	15.13	2025-07-16
HLE vs MKOI	Hanwha Life eSports	1   0	Movistar KOI	GROUPSTAGE	15.13	2025-07-16
FlyQuest vs Cloud9	FlyQuest	1   0	Cloud9	GROUPSTAGE	15.13	2025-07-16
G2 Esports vs FURIA	G2 Esports	1   0	FURIA	GROUPSTAGE	15.13	2025-07-16
MKOI vs GAM Esports	Movistar KOI	1   0	GAM Esports	GROUPSTAGE	15.13	2025-07-16
CFO vs HLE	Hanwha Life eSports	1   0	CTBC Flying Oyster	GROUPSTAGE	15.13	2025-07-16
