tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
First Stand 2025  HLE vs KC	Hanwha Life eSports	3   1	Karmine Corp	FINALS	15.5	2025-03-16
First Stand 2025  HLE vs Top Esports	Hanwha Life eSports	3   0	Top Esports	SEMIFINALS	15.5	2025-03-15
First Stand 2025  CFO vs KC	CTBC Flying Oyster	2   3	Karmine Corp	SEMIFINALS	15.5	2025-03-15
First Stand 2025  Team Liquid vs HLE	Team Liquid	1   2	Hanwha Life eSports	GROUPS.DAY4	15.5	2025-03-14
First Stand 2025  CFO vs Top Esports	CTBC Flying Oyster	2   0	Top Esports	GROUPS.DAY4	15.5	2025-03-14
First Stand 2025  KC vs HLE	Karmine Corp	1   2	Hanwha Life eSports	GROUPS.DAY4	15.5	2025-03-13
First Stand 2025  Team Liquid vs CFO	Team Liquid	0   2	CTBC Flying Oyster	GROUPS.DAY4	15.5	2025-03-13
First Stand 2025  KC vs Top Esports	Top Esports	0   2	Karmine Corp	GROUPS.DAY3	15.5	2025-03-12
First Stand 2025  CFO vs HLE	Hanwha Life eSports	2   0	CTBC Flying Oyster	GROUPS.DAY3	15.5	2025-03-12
First Stand 2025  Team Liquid vs Top Esports	Top Esports	2   0	Team Liquid	GROUPS.DAY2	15.5	2025-03-11
First Stand 2025  CFO vs KC	CTBC Flying Oyster	2   0	Karmine Corp	GROUPS.DAY2	15.5	2025-03-11
First Stand 2025  HLE vs Top Esports	Hanwha Life eSports	2   0	Top Esports	GROUPS.DAY1	15.5	2025-03-10
First Stand 2025  Team Liquid vs KC	Karmine Corp	1   2	Team Liquid	GROUPS.DAY1	15.5	2025-03-10
