games_in_series   tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
01011  2025 Mid-Season Invitational    GEN vs T1	Gen.G eSports	3   2	T1	FINALS	15.13	2025-07-12
01011  2025 Mid-Season Invitational    T1 vs AL	T1	3   2	Anyone s Legend	ROUND4	15.13	2025-07-11
111  2025 Mid-Season Invitational    BLG vs AL	Anyone s Legend	3   0	Bilibili Gaming	ROUND3	15.13	2025-07-10
01010  2025 Mid-Season Invitational    GEN vs T1	T1	2   3	Gen.G eSports	ROUND4	15.13	2025-07-09
10010  2025 Mid-Season Invitational    BLG vs FlyQuest	FlyQuest	2   3	Bilibili Gaming	ROUND2	15.13	2025-07-08
0010  2025 Mid-Season Invitational    AL vs CFO	CTBC Flying Oyster	1   3	Anyone s Legend	ROUND2	15.13	2025-07-07
000  2025 Mid-Season Invitational    T1 vs BLG	Bilibili Gaming	0   3	T1	ROUND2	15.13	2025-07-05
1101  2025 Mid-Season Invitational    CFO vs MKOI	CTBC Flying Oyster	3   1	Movistar KOI	ROUND1	15.13	2025-07-05
10010  2025 Mid-Season Invitational    GEN vs AL	Anyone s Legend	2   3	Gen.G eSports	ROUND2	15.13	2025-07-04
111  2025 Mid-Season Invitational    G2 Esports vs FlyQuest	FlyQuest	3   0	G2 Esports	ROUND1	15.13	2025-07-04
01100  2025 Mid-Season Invitational    CFO vs T1	CTBC Flying Oyster	2   3	T1	ROUND1	15.13	2025-07-03
0100  2025 Mid-Season Invitational    MKOI vs BLG	Movistar KOI	1   3	Bilibili Gaming	ROUND1	15.13	2025-07-03
0111  2025 Mid-Season Invitational    AL vs FlyQuest	Anyone s Legend	3   1	FlyQuest	ROUND1	15.13	2025-07-02
0111  2025 Mid-Season Invitational    GEN vs G2 Esports	Gen.G eSports	3   1	G2 Esports	ROUND1	15.13	2025-07-01
11001  2025 Mid-Season Invitational    G2 Esports vs GAM Esports	G2 Esports	3   2	GAM Esports	PLAYIN-DAY3	15.13	2025-06-29
111  2025 Mid-Season Invitational    G2 Esports vs BLG	Bilibili Gaming	3   0	G2 Esports	PLAYIN-DAY2	15.13	2025-06-28
10011  2025 Mid-Season Invitational    FURIA vs GAM Esports	GAM Esports	3   2	FURIA	PLAYIN-DAY2	15.13	2025-06-28
111  2025 Mid-Season Invitational    BLG vs GAM Esports	Bilibili Gaming	3   0	GAM Esports	PLAYIN-DAY1	15.13	2025-06-27
10010  2025 Mid-Season Invitational    G2 Esports vs FURIA	FURIA	2   3	G2 Esports	PLAYIN-DAY1	15.13	2025-06-27
