vs  teamA   scoreA  scoreB  teamB   round   patch   date
Ultra Prime vs Team WE	Ultra Prime	1   2	Team WE	ROUND2	15.6	2025-03-31
LGD Gaming vs Team WE	Team WE	2   0	LGD Gaming	ROUND1	15.6	2025-03-31
FPX vs Ultra Prime	Funplus Phoenix	2   1	Ultra Prime	ROUND2	15.6	2025-03-30
Ultra Prime vs Team WE	Team WE	0   1	Ultra Prime	ROUND1	15.6	2025-03-30
FPX vs LGD Gaming	LGD Gaming	0   1	Funplus Phoenix	ROUND1	15.6	2025-03-30
FPX vs NIP	Funplus Phoenix	1   0	Ninjas in Pyjamas	DAY8	15.6	2025-03-29
Top Esports vs OMG	Top Esports	1   0	OMG	DAY8	15.6	2025-03-29
FPX vs OMG	Funplus Phoenix	0   1	OMG	DAY8	15.6	2025-03-29
NIP vs Top Esports	Ninjas in Pyjamas	0   1	Top Esports	DAY8	15.6	2025-03-29
Top Esports vs FPX	Top Esports	1   0	Funplus Phoenix	DAY8	15.6	2025-03-29
OMG vs NIP	OMG	0   1	Ninjas in Pyjamas	DAY8	15.6	2025-03-29
Ultra Prime vs RNG	Royal Never Give Up	0   1	Ultra Prime	TIEBREAKERS	15.6	2025-03-28
Ultra Prime vs TT	Ultra Prime	0   1	TT	DAY7	15.6	2025-03-28
AL vs RNG	Anyone s Legend	1   0	Royal Never Give Up	DAY7	15.6	2025-03-28
Ultra Prime vs RNG	Ultra Prime	0   1	Royal Never Give Up	DAY7	15.6	2025-03-28
TT vs AL	TT	0   1	Anyone s Legend	DAY7	15.6	2025-03-28
AL vs Ultra Prime	Anyone s Legend	1   0	Ultra Prime	DAY7	15.6	2025-03-28
RNG vs TT	Royal Never Give Up	0   1	TT	DAY7	15.6	2025-03-28
LNG Esports vs IG	LNG Esports	0   1	Invictus Gaming	DAY6	15.6	2025-03-27
JD Gaming vs LGD Gaming	JD Gaming	1   0	LGD Gaming	DAY6	15.6	2025-03-27
LNG Esports vs LGD Gaming	LNG Esports	0   1	LGD Gaming	DAY6	15.6	2025-03-27
IG vs JD Gaming	Invictus Gaming	1   0	JD Gaming	DAY6	15.6	2025-03-27
JD Gaming vs LNG Esports	JD Gaming	1   0	LNG Esports	DAY6	15.6	2025-03-27
LGD Gaming vs IG	LGD Gaming	0   1	Invictus Gaming	DAY6	15.6	2025-03-27
EDG vs Team WE	Edward Gaming	0   1	Team WE	TIEBREAKERS	15.6	2025-03-26
Team WE vs WBG	Team WE	0   1	Weibo Gaming	DAY5	15.6	2025-03-26
BLG vs EDG	Bilibili Gaming	1   0	Edward Gaming	DAY5	15.6	2025-03-26
Team WE vs EDG	Team WE	1   0	Edward Gaming	DAY5	15.6	2025-03-26
WBG vs BLG	Weibo Gaming	1   0	Bilibili Gaming	DAY5	15.6	2025-03-26
BLG vs Team WE	Bilibili Gaming	1   0	Team WE	DAY5	15.6	2025-03-26
EDG vs WBG	Edward Gaming	0   1	Weibo Gaming	DAY5	15.6	2025-03-26
OMG vs Top Esports	OMG	0   1	Top Esports	DAY4	15.6	2025-03-25
NIP vs FPX	Ninjas in Pyjamas	1   0	Funplus Phoenix	DAY4	15.6	2025-03-25
Top Esports vs NIP	Top Esports	1   0	Ninjas in Pyjamas	DAY4	15.6	2025-03-25
OMG vs FPX	OMG	0   1	Funplus Phoenix	DAY4	15.6	2025-03-25
FPX vs Top Esports	Funplus Phoenix	0   1	Top Esports	DAY4	15.6	2025-03-25
NIP vs OMG	Ninjas in Pyjamas	1   0	OMG	DAY4	15.6	2025-03-25
RNG vs AL	Royal Never Give Up	1   0	Anyone s Legend	DAY3	15.6	2025-03-24
TT vs Ultra Prime	TT	0   1	Ultra Prime	DAY3	15.6	2025-03-24
AL vs TT	Anyone s Legend	1   0	TT	DAY3	15.6	2025-03-24
RNG vs Ultra Prime	Royal Never Give Up	0   1	Ultra Prime	DAY3	15.6	2025-03-24
Ultra Prime vs AL	Ultra Prime	0   1	Anyone s Legend	DAY3	15.6	2025-03-24
TT vs RNG	TT	1   0	Royal Never Give Up	DAY3	15.6	2025-03-24
LGD Gaming vs JD Gaming	LGD Gaming	0   1	JD Gaming	DAY2	15.6	2025-03-23
IG vs LNG Esports	Invictus Gaming	1   0	LNG Esports	DAY2	15.6	2025-03-23
JD Gaming vs IG	JD Gaming	0   1	Invictus Gaming	DAY2	15.6	2025-03-23
LGD Gaming vs LNG Esports	LGD Gaming	1   0	LNG Esports	DAY2	15.6	2025-03-23
LNG Esports vs JD Gaming	LNG Esports	0   1	JD Gaming	DAY2	15.6	2025-03-23
IG vs LGD Gaming	Invictus Gaming	1   0	LGD Gaming	DAY2	15.6	2025-03-23
EDG vs BLG	Edward Gaming	0   1	Bilibili Gaming	DAY1	15.6	2025-03-22
WBG vs Team WE	Weibo Gaming	1   0	Team WE	DAY1	15.6	2025-03-22
BLG vs WBG	Bilibili Gaming	1   0	Weibo Gaming	DAY1	15.6	2025-03-22
EDG vs Team WE	Edward Gaming	1   0	Team WE	DAY1	15.6	2025-03-22
Team WE vs BLG	Team WE	0   1	Bilibili Gaming	DAY1	15.6	2025-03-22
WBG vs EDG	Weibo Gaming	1   0	Edward Gaming	DAY1	15.6	2025-03-22
NIP vs TT	TT	2   0	Ninjas in Pyjamas	WEEK8	15.9	2025-05-22
Team WE vs WBG	Team WE	2   0	Weibo Gaming	WEEK8	15.9	2025-05-22
IG vs BLG	Bilibili Gaming	2   1	Invictus Gaming	WEEK8	15.9	2025-05-21
JD Gaming vs AL	Anyone s Legend	0   2	JD Gaming	WEEK8	15.9	2025-05-21
Top Esports vs BLG	Bilibili Gaming	2   0	Top Esports	WEEK8	15.9	2025-05-20
FPX vs IG	Invictus Gaming	2   0	Funplus Phoenix	WEEK8	15.9	2025-05-20
NIP vs JD Gaming	JD Gaming	2   0	Ninjas in Pyjamas	WEEK8	15.9	2025-05-19
WBG vs FPX	Weibo Gaming	2   0	Funplus Phoenix	WEEK8	15.9	2025-05-19
AL vs Team WE	Team WE	0   2	Anyone s Legend	WEEK7	15.9	2025-05-18
Top Esports vs TT	TT	1   2	Top Esports	WEEK7	15.9	2025-05-18
JD Gaming vs BLG	JD Gaming	2   0	Bilibili Gaming	WEEK7	15.9	2025-05-17
