tournament    vs  teamA   scoreA  scoreB  teamB   round   patch   date
LPL 2025 Split 1    LGD Gaming vs Top Esports	Top Esports	3   0	LGD Gaming	WEEK5	15.2	2025-02-16
LPL 2025 Split 1    IG vs FPX	Funplus Phoenix	0   3	Invictus Gaming	WEEK5	15.2	2025-02-15
LPL 2025 Split 1    TT vs BLG	Bilibili Gaming	2   3	TT	WEEK5	15.2	2025-02-14
LPL 2025 Split 1    NIP vs RNG	Royal Never Give Up	0   3	Ninjas in Pyjamas	WEEK5	15.2	2025-02-13
LPL 2025 Split 1    Ultra Prime vs OMG	Ultra Prime	2   3	OMG	WEEK5	15.2	2025-02-12
LPL 2025 Split 1    EDG vs LNG Esports	Edward Gaming	3   0	LNG Esports	WEEK5	15.2	2025-02-11
LPL 2025 Split 1    AL vs Team WE	Team WE	1   3	Anyone s Legend	WEEK5	15.2	2025-02-10
LPL 2025 Split 1    WBG vs JD Gaming	JD Gaming	3   2	Weibo Gaming	WEEK4	15.2	2025-02-09
LPL 2025 Split 1    FPX vs NIP	Ninjas in Pyjamas	3   0	Funplus Phoenix	WEEK4	15.2	2025-02-08
LPL 2025 Split 1    RNG vs IG	Invictus Gaming	3   1	Royal Never Give Up	WEEK3	15.2	2025-01-25
LPL 2025 Split 1    LNG Esports vs BLG	Bilibili Gaming	3   0	LNG Esports	WEEK3	15.2	2025-01-25
LPL 2025 Split 1    AL vs Top Esports	Top Esports	1   3	Anyone s Legend	WEEK3	15.2	2025-01-24
LPL 2025 Split 1    JD Gaming vs OMG	OMG	2   3	JD Gaming	WEEK3	15.1	2025-01-23
LPL 2025 Split 1    Team WE vs LGD Gaming	LGD Gaming	3   0	Team WE	WEEK3	15.1	2025-01-22
LPL 2025 Split 1    EDG vs TT	Edward Gaming	1   3	TT	WEEK3	15.1	2025-01-21
LPL 2025 Split 1    Ultra Prime vs JD Gaming	JD Gaming	3   0	Ultra Prime	WEEK3	15.1	2025-01-20
LPL 2025 Split 1    IG vs NIP	Invictus Gaming	1   3	Ninjas in Pyjamas	WEEK2	15.1	2025-01-19
LPL 2025 Split 1    Top Esports vs Team WE	Top Esports	3   0	Team WE	WEEK1	15.1	2025-01-18
LPL 2025 Split 1    BLG vs EDG	Edward Gaming	0   3	Bilibili Gaming	WEEK1	15.1	2025-01-17
LPL 2025 Split 1    LGD Gaming vs AL	LGD Gaming	0   3	Anyone s Legend	WEEK1	15.1	2025-01-16
LPL 2025 Split 1    WBG vs Ultra Prime	Ultra Prime	1   3	Weibo Gaming	WEEK1	15.1	2025-01-15
