"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"First Stand 2025","2025-03-10","Hanwha Life Esports",2,2,0,30.3,37,13,2.85,0.83,0.89,"8.8%",52.7,47.3,255,"50%","0%","100%",5,"0%","42%","0%","63%",,"100%","100%","51.1%","50.0%",3.5,1.31,1.53
"First Stand 2025","2025-03-10","Karmine Corp",3,1,2,29.9,25,44,0.57,0.77,-0.14,"-1.5%",51.4,-18,155,"67%","67%","67%",4.3,"67%","72%","33%","38%",,"0%","0%","51.0%","49.5%",3.12,1.27,1.55
"First Stand 2025","2025-03-10","Team Liquid",3,2,1,29.9,44,25,1.76,0.77,0.14,"1.5%",48.6,18,-155,"33%","33%","33%",3.3,"33%","28%","67%","62%",,"67%","100%","49.0%","50.5%",3.14,1.05,1.51
"First Stand 2025","2025-03-10","Top Esports",2,0,2,30.3,13,37,0.35,0.83,-0.89,"-8.8%",47.3,-47.3,-255,"50%","100%","0%",6,"100%","58%","100%","38%",,"0%","0%","48.9%","50.0%",3.16,1.28,1.4
"First Stand 2025","2025-03-11","CTBC Flying Oyster",2,2,0,31.9,37,16,2.31,0.83,1.52,"7.4%",68.6,31.4,1357,"100%","100%","100%",2.5,"100%","50%","50%","75%",,"100%","100%","49.7%","49.0%",3.71,1.57,1.63
"First Stand 2025","2025-03-11","Hanwha Life Esports",2,2,0,30.3,37,13,2.85,0.83,0.89,"8.8%",52.7,47.3,255,"50%","0%","100%",5,"0%","42%","0%","63%",,"100%","100%","51.1%","50.0%",3.5,1.31,1.53
"First Stand 2025","2025-03-11","Karmine Corp",5,1,4,30.7,41,81,0.51,0.79,-0.7,"-3.9%",43.4,-23.4,-450,"40%","40%","40%",3.8,"40%","63%","40%","33%",,"0%","0%","50.7%","50.1%",3.12,1.19,1.56
"First Stand 2025","2025-03-11","Team Liquid",5,2,3,29.6,62,73,0.85,0.91,-1.06,"-6.8%",38.4,1.6,-915,"20%","20%","20%",2.8,"20%","17%","60%","50%",,"40%","67%","48.9%","47.2%",3.2,1.17,1.43
"First Stand 2025","2025-03-11","Top Esports",4,2,2,29.7,61,55,1.11,0.98,0.99,"5.2%",62.2,-12.2,901,"75%","100%","50%",5,"100%","79%","75%","54%",,"25%","33%","50.0%","53.9%",3.15,1.25,1.5
"First Stand 2025","2025-03-12","CTBC Flying Oyster",4,2,2,28.9,52,57,0.91,0.94,-0.47,"-3.7%",39.1,10.9,-1395,"100%","50%","50%",3,"50%","33%","25%","40%",,"50%","75%","49.1%","45.3%",3.66,1.42,1.44
