"tournament","date","Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","GRB%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"LEC 2025 Winter","2025-01-18","Fnatic",1,0,1,30.1,2,19,0.11,0.7,-1.92,"-21.2%",15.7,-15.7,-2325,"0%","0%","0%",3,"0%","0%","0%","0%",,"0%","0%","51.1%","47.5%",3.25,0.93,1.46
"LEC 2025 Winter","2025-01-18","G2 Esports",1,0,1,37.7,13,22,0.59,0.93,-0.36,"-4.6%",46.8,-46.8,-186,"0%","0%","100%",6,"100%","50%","0%","20%","0%","0%","0%","49.4%","50.1%",3.27,1.19,1.57
"LEC 2025 Winter","2025-01-18","GiantX",1,1,0,33.1,19,5,3.8,0.72,0.73,"14.2%",34,66,-950,"100%","0%","0%",6,"0%","17%","0%","25%",,"100%","100%","52.1%","51.7%",3.35,1.03,1.72
"LEC 2025 Winter","2025-01-18","Karmine Corp",1,1,0,37.7,22,13,1.69,0.93,0.36,"4.6%",53.2,46.8,186,"100%","100%","0%",6,"0%","50%","100%","80%","100%","100%","100%","50.6%","49.9%",3.88,1.41,1.59
"LEC 2025 Winter","2025-01-18","Movistar KOI",1,1,0,30.1,19,2,9.5,0.7,1.92,"21.2%",84.3,15.7,2325,"100%","100%","100%",4,"100%","100%","100%","100%",,"100%","100%","48.9%","52.5%",3.52,1.53,1.83
"LEC 2025 Winter","2025-01-18","Rogue",1,1,0,38.7,11,3,3.67,0.36,-0.19,"8.8%",46.1,53.9,-1229,"0%","100%","0%",3,"0%","0%","100%","67%",,"100%","100%","49.5%","49.8%",3.56,1.16,1.83
"LEC 2025 Winter","2025-01-18","SK Gaming",1,0,1,33.1,5,19,0.26,0.72,-0.73,"-14.2%",66,-66,950,"0%","100%","100%",7,"100%","83%","100%","75%",,"0%","0%","47.9%","48.3%",3.02,1.12,0.88
"LEC 2025 Winter","2025-01-18","Team BDS",1,0,1,32.5,7,17,0.41,0.74,-0.81,"-14.1%",46.3,-46.3,-885,"100%","0%","0%",3,"0%","67%","100%","75%",,"0%","0%","50.7%","46.6%",3.17,1.17,1.66
"LEC 2025 Winter","2025-01-18","Team Heretics",1,0,1,38.7,3,11,0.27,0.36,0.19,"-8.8%",53.9,-53.9,1229,"100%","0%","100%",1,"100%","100%","0%","33%",,"0%","0%","50.5%","50.2%",3.77,1.42,1.52
"LEC 2025 Winter","2025-01-18","Team Vitality",1,1,0,32.5,17,7,2.43,0.74,0.81,"14.1%",53.7,46.3,885,"0%","100%","100%",5,"100%","33%","0%","25%",,"100%","100%","49.3%","53.4%",3.26,1.14,1.63
"LEC 2025 Winter","2025-01-19","Fnatic",2,1,1,29.4,31,28,1.11,1,0.76,"-1.9%",53,-3,661,"0%","0%","50%",4,"0%","25%","0%","29%",,"50%","50%","52.1%","55.0%",3.06,0.85,1.22
"LEC 2025 Winter","2025-01-19","G2 Esports",2,0,2,34.7,23,34,0.68,0.82,0.74,"-0.1%",69.8,-69.8,1720,"50%","50%","100%",7,"50%","50%","0%","30%","0%","0%","0%","49.7%","55.3%",2.77,0.96,1.37
"LEC 2025 Winter","2025-01-19","GiantX",2,2,0,46.2,46,32,1.44,0.84,0.2,"9.4%",25,75,-1603,"50%","0%","0%",4,"0%","8%","50%","56%","75%","100%","60%","52.3%","53.6%",3.4,1.04,1.81
"LEC 2025 Winter","2025-01-19","Karmine Corp",2,2,0,37.1,44,24,1.83,0.92,0.4,"6.6%",41.2,58.8,-224,"50%","50%","50%",6.5,"0%","50%","50%","73%","100%","50%","50%","51.6%","50.1%",3.95,1.33,1.7
"LEC 2025 Winter","2025-01-19","Movistar KOI",2,1,1,33.3,30,24,1.25,0.81,0.64,"6.3%",77.5,-27.5,1479,"100%","100%","50%",5,"100%","75%","100%","60%",,"100%","100%","48.1%","51.1%",3.44,1.52,1.95
"LEC 2025 Winter","2025-01-19","Rogue",2,1,1,49,38,31,1.23,0.69,-0.01,"2.1%",65.1,-15.1,514,"50%","100%","50%",5,"50%","50%","50%","45%","25%","50%","67%","48.5%","47.2%",3.78,1.1,1.7
"LEC 2025 Winter","2025-01-19","SK Gaming",2,0,2,33.5,11,38,0.29,0.72,-1.31,"-12.2%",39,-39,-866,"0%","50%","50%",7,"50%","67%","100%","63%",,"0%","0%","49.4%","49.3%",3.12,1.08,1.15
"LEC 2025 Winter","2025-01-19","Team BDS",2,1,1,32.1,19,27,0.7,0.72,-1.41,"-9.3%",26.7,23.3,-2255,"50%","0%","0%",2.5,"50%","58%","100%","67%",,"50%","50%","50.4%","43.1%",3.1,1.17,1.35
"LEC 2025 Winter","2025-01-19","Team Heretics",2,1,1,36.3,21,17,1.24,0.52,0.98,"0.7%",70.9,-20.9,1955,"100%","50%","100%",2,"100%","75%","0%","40%",,"50%","50%","49.8%","50.0%",3.67,1.36,1.53
"LEC 2025 Winter","2025-01-19","Team Vitality",2,1,1,30.6,26,36,0.72,1.01,-1.26,"-1.7%",31.8,18.2,-1381,"50%","100%","50%",3,"100%","42%","50%","29%",,"50%","50%","48.1%","45.5%",3.04,1.01,1.27
"LEC 2025 Winter","2025-01-20","Fnatic",3,2,1,28.1,51,32,1.59,0.98,1.85,"8.3%",67.4,-0.7,2144,"33%","33%","67%",6.3,"33%","50%","33%","50%",,"33%","50%","51.5%","58.4%",3.06,0.79,1.22
"LEC 2025 Winter","2025-01-20","G2 Esports",3,1,2,32.6,42,40,1.05,0.84,0.84,"5.8%",63.2,-29.9,686,"33%","67%","67%",7.3,"33%","50%","33%","50%","0%","33%","33%","50.6%","53.0%",2.87,0.97,1.28
"LEC 2025 Winter","2025-01-20","GiantX",3,3,0,43.3,57,34,1.68,0.7,1,"11.4%",44,56,-249,"67%","33%","33%",4.3,"33%","39%","33%","60%","75%","100%","71%","51.7%","54.9%",3.48,1.17,1.84
"LEC 2025 Winter","2025-01-20","Karmine Corp",3,2,1,37.2,46,35,1.31,0.73,-0.74,"-0.7%",33.4,33.2,-969,"33%","33%","33%",5.3,"0%","33%","67%","59%","100%","33%","25%","50.9%","47.6%",3.89,1.32,1.8
"LEC 2025 Winter","2025-01-20","Movistar KOI",3,2,1,34.6,45,36,1.25,0.78,0.84,"6.0%",69.2,-2.5,1484,"67%","100%","67%",5,"100%","78%","67%","56%",,"100%","100%","48.3%","53.5%",3.43,1.48,2.04
"LEC 2025 Winter","2025-01-20","Rogue",3,1,2,45.5,46,55,0.84,0.73,-0.42,"-2.1%",62.7,-29.4,366,"33%","67%","33%",4.3,"33%","50%","67%","41%","25%","33%","57%","48.7%","47.2%",3.77,1.17,1.66
"LEC 2025 Winter","2025-01-20","SK Gaming",3,0,3,31.8,17,57,0.3,0.77,-1.24,"-13.9%",42.7,-42.7,-116,"33%","33%","67%",6,"67%","61%","67%","42%",,"0%","0%","48.8%","50.1%",2.93,1.01,1.12
"LEC 2025 Winter","2025-01-20","Team BDS",3,2,1,34.3,43,35,1.23,0.76,-0.34,"-2.7%",31.8,34.8,-1527,"67%","33%","33%",2.3,"67%","56%","67%","67%",,"67%","67%","50.5%","46.3%",3.19,1.2,1.63
"LEC 2025 Winter","2025-01-20","Team Heretics",3,1,2,32.7,25,37,0.68,0.63,-0.42,"-9.1%",48.5,-15.2,-401,"67%","33%","67%",1.7,"67%","50%","0%","31%",,"33%","50%","49.7%","44.9%",3.44,1.25,1.46
"LEC 2025 Winter","2025-01-20","Team Vitality",3,1,2,32.8,38,52,0.73,0.9,-1.23,"-2.9%",37,-3.7,-1418,"67%","67%","33%",2.7,"67%","33%","67%","38%",,"33%","33%","49.1%","44.2%",3.28,1.22,1.36
"LEC 2025 Winter","2025-01-25","Fnatic",4,3,1,30.4,61,40,1.53,0.83,1.46,"6.2%",68.6,6.4,2050,"25%","50%","50%",6.3,"25%","50%","50%","50%",,"25%","50%","51.7%","57.0%",3.17,0.86,1.41
"LEC 2025 Winter","2025-01-25","G2 Esports",4,2,2,36.3,60,53,1.13,0.78,0.73,"5.3%",64,-14,549,"50%","50%","75%",6,"25%","42%","50%","45%","0%","25%","50%","50.4%","52.9%",2.99,1.03,1.42
"LEC 2025 Winter","2025-01-25","GiantX",4,3,1,42.4,73,49,1.49,0.72,0.81,"8.3%",50.1,24.9,78,"75%","25%","25%",3.8,"25%","46%","50%","50%","75%","100%","67%","51.1%","52.1%",3.43,1.2,1.82
"LEC 2025 Winter","2025-01-25","Karmine Corp",4,3,1,33.5,60,40,1.5,0.75,-0.36,"1.0%",41.4,33.6,-290,"25%","25%","50%",5.8,"25%","50%","50%","55%","100%","25%","25%","50.7%","49.1%",3.58,1.19,1.7
"LEC 2025 Winter","2025-01-25","Movistar KOI",4,3,1,35.9,60,52,1.15,0.78,0.56,"4.8%",59.8,15.2,848,"50%","100%","75%",4.5,"100%","67%","50%","62%",,"75%","80%","49.0%","54.1%",3.48,1.51,1.92
"LEC 2025 Winter","2025-01-25","Rogue",4,1,3,43.5,54,65,0.83,0.68,-0.45,"-1.6%",53.9,-28.9,-167,"50%","50%","50%",4,"50%","50%","50%","43%","25%","50%","56%","48.5%","47.1%",3.82,1.25,1.66
"LEC 2025 Winter","2025-01-25","SK Gaming",4,0,4,29.5,22,71,0.31,0.78,-1.3,"-11.9%",40.7,-40.7,-524,"50%","50%","50%",6.3,"50%","46%","75%","47%",,"0%","0%","49.1%","49.1%",2.96,1.08,1.14
"LEC 2025 Winter","2025-01-25","Team BDS",4,2,2,35.6,55,54,1.02,0.77,-0.06,"-3.5%",42.5,7.5,-712,"75%","50%","50%",3.8,"75%","67%","50%","57%",,"50%","50%","50.5%","46.3%",3.26,1.26,1.59
"LEC 2025 Winter","2025-01-25","Team Heretics",4,2,2,34.4,44,49,0.9,0.68,-0.49,"-5.4%",42.8,7.2,-734,"50%","25%","50%",1.5,"50%","38%","25%","42%",,"50%","60%","49.7%","47.1%",3.45,1.24,1.57
"LEC 2025 Winter","2025-01-25","Team Vitality",4,1,3,36.4,51,70,0.73,0.82,-1,"-3.1%",36.1,-11.1,-1098,"50%","75%","25%",2.8,"75%","46%","50%","47%","100%","50%","33%","49.5%","45.0%",3.33,1.27,1.39
"LEC 2025 Winter","2025-01-26","Fnatic",5,4,1,29.8,77,50,1.54,0.85,1.28,"6.1%",61.2,18.8,1380,"40%","60%","40%",6.2,"20%","53%","40%","50%",,"40%","60%","51.7%","56.6%",3.16,0.85,1.36
"LEC 2025 Winter","2025-01-26","G2 Esports",5,2,3,34.5,70,69,1.01,0.81,0.54,"3.1%",64.9,-24.9,699,"40%","40%","80%",6,"40%","40%","60%","46%","0%","20%","43%","49.9%","51.4%",2.93,1.02,1.43
"LEC 2025 Winter","2025-01-26","GiantX",5,4,1,39.9,89,54,1.65,0.72,0.97,"8.5%",56.4,23.6,425,"60%","40%","40%",3.8,"20%","47%","60%","56%","75%","100%","70%","51.1%","50.8%",3.32,1.18,1.77
"LEC 2025 Winter","2025-01-26","Karmine Corp",5,4,1,32.2,85,46,1.85,0.81,0.1,"3.5%",50.3,29.7,338,"20%","40%","60%",6.2,"40%","43%","60%","58%","100%","20%","25%","50.8%","52.1%",3.53,1.19,1.59
"LEC 2025 Winter","2025-01-26","Movistar KOI",5,4,1,34.7,76,57,1.33,0.77,0.82,"7.1%",63.6,16.4,1095,"60%","100%","80%",4.4,"100%","70%","60%","67%",,"80%","83%","49.1%","55.6%",3.44,1.48,2.02
"LEC 2025 Winter","2025-01-26","Rogue",5,1,4,40.2,60,90,0.67,0.74,-0.71,"-4.0%",45.9,-25.9,-704,"60%","40%","40%",4.2,"40%","57%","40%","41%","25%","40%","56%","48.6%","44.9%",3.7,1.22,1.54
"LEC 2025 Winter","2025-01-26","SK Gaming",5,0,5,29.9,34,85,0.4,0.79,-0.77,"-10.0%",47.4,-47.4,188,"60%","60%","60%",6.8,"60%","50%","60%","40%",,"0%","0%","49.3%","48.7%",3.03,1.12,1.25
"LEC 2025 Winter","2025-01-26","Team BDS",5,2,3,34.4,60,70,0.86,0.75,-0.42,"-6.1%",38.3,1.7,-986,"60%","40%","40%",3.2,"60%","57%","40%","50%",,"40%","40%","50.4%","44.8%",3.25,1.24,1.62
