Name;Season;Region;Games;Win rate;K:D;GPM;GDM;Game duration;Kills / game;Deaths / game;Towers killed;Towers lost;FB%;FT%;FOS%;DRAPG;DRA%;VGPG;HER%;ATAKHAN%;DRA@15;TD@15;GD@15;PPG;NASHPG;NASH%;CSM;DPM;WPM;VWPM;WCPM
100 Thieves;S15;;19;52.6%;1.03;1841;41;34:54;15.5;15.1;6.3;5.5;52.6;63.2;63.2;2.53;52.4;1.5;47.4;26.3;1.00;0.0;187;3.16;0.89;64.8;33.0;2854;3.4;1.24;1.54
Anyone s Legend;S15;CN;85;68.2%;1.46;1928;151;32:31;18.0;12.3;6.9;4.3;62.4;70.6;70.6;2.59;59.0;2.3;58.3;15.3;0.57;0.1;581;2.43;0.67;65.0;34.0;2801;3.5;1.31;1.67
Bilibili Gaming;S15;CN;91;62.6%;1.2;1914;105;32:09;17.4;14.4;7.0;4.6;51.6;54.9;50.5;2.56;58.4;2.4;62.6;13.2;1.19;0.1;825;4.38;0.6;58.4;33.6;2814;3.3;1.3;1.58
BNK FearX;S15;KR;46;37.0%;0.83;1808;-87;31:05;13.3;16.1;5.2;6.2;54.3;39.1;47.8;2.24;51.1;2.7;43.5;30.4;0.98;0.0;-471;3.65;0.41;44.3;33.0;2639;3.4;1.34;1.46
Chiefs Esports Club;S15;OCE;18;22.2%;0.69;1701;-238;30:48;10.1;14.5;3.3;7.5;50.0;27.8;22.2;1.0;23.4;1.6;22.2;16.7;0.28;-0.4;-1361;1.50;0.28;21.4;33.1;1929;3.5;1.18;1.34
Cloud9;S15;;32;68.8%;1.58;1925;170;33:26;16.7;10.5;7.1;5.0;59.4;43.8;50.0;2.59;53.9;2.0;56.3;53.1;0.88;-0.2;595;3.28;0.84;70.3;34.6;2709;3.0;1.08;1.48
CTBC Flying Oyster;S15;TW;42;66.7%;1.35;1941;170;31:42;15.4;11.4;7.5;4.3;61.9;71.4;73.8;2.79;64.5;1.4;59.5;59.5;1.02;0.2;730;4.76;0.76;76.1;34.4;2605;3.7;1.41;1.6
DetonatioN FocusMe;S15;JP;16;18.8%;0.56;1703;-236;31:42;9.7;17.2;3.3;8.3;37.5;25.0;43.8;1.88;46.5;2.1;37.5;31.3;0.75;-0.2;-615;2.69;0.19;20.0;32.5;2276;2.8;1.34;1.38
Dignitas;S15;;21;28.6%;0.7;1725;-154;35:41;10.4;14.9;4.5;8.0;28.6;38.1;33.3;1.9;38.0;2.1;47.6;33.3;0.86;0.0;-387;2.81;0.43;26.7;33.4;2334;3.4;1.23;1.4
Disguised;S15;;15;6.7%;0.33;1663;-359;32:49;7.5;22.7;3.1;9.1;6.7;53.3;46.7;1.47;29.3;2.2;33.3;33.3;0.67;-0.1;-1183;4.87;0.27;16.7;31.8;2296;3.6;1.49;1.28
