Name;Season;Region;Games;Win rate;K:D;GPM;GDM;Game duration;Kills / game;Deaths / game;Towers killed;Towers lost;FB%;FT%;FOS%;DRAPG;DRA%;VGPG;HER%;ATAKHAN%;DRA@15;TD@15;GD@15;PPG;NASHPG;NASH%;CSM;DPM;WPM;VWPM;WCPM
100 Thieves;S15;;4;0.0%;0.46;1630;-371;31:38;9.3;20.3;1.8;9.0;75.0;25.0;25.0;2.25;48.8;1.0;25.0;50.0;1.25;-0.5;-800;2.25;0.0;0.0;31.0;2355;3.2;1.19;1.5
Anyone s Legend;S15;CN;21;57.1%;1.18;1856;43;31:50;15.3;13.0;5.4;5.0;28.6;52.4;57.1;2.0;46.0;1.8;61.9;33.3;0.70;0.3;115;1.60;0.52;48.1;33.5;2756;3.7;1.43;1.62
Bilibili Gaming;S15;CN;12;75.0%;1.45;1957;191;33:51;20.0;13.8;7.5;3.5;50.0;66.7;66.7;2.92;66.0;1.2;41.7;8.3;1.00;0.0;657;3.33;0.92;75.0;33.4;3010;3.6;1.39;1.75
BNK FearX;S15;KR;9;55.6%;0.96;1839;-21;33:09;16.6;17.3;5.9;5.4;55.6;33.3;33.3;2.67;54.3;1.6;22.2;44.4;0.78;-0.1;-776;2.78;0.44;37.5;32.1;2837;3.7;1.42;1.67
Chiefs Esports Club;S15;OCE;6;33.3%;0.91;1751;-89;30:22;10.7;11.7;4.7;6.0;50.0;66.7;50.0;2.0;46.1;1.0;40.0;33.3;0.83;0.3;510;2.83;0.33;37.5;33.2;2165;3.4;1.11;1.24
Cloud9;S15;;6;66.7%;1.37;1982;183;33:14;16.7;12.2;8.0;5.3;50.0;50.0;50.0;3.0;62.8;1.0;50.0;66.7;1.17;0.2;290;2.33;0.83;66.7;35.8;3090;3.3;1.1;1.59
CTBC Flying Oyster;S15;TW;8;62.5%;1.23;1919;70;31:57;15.6;12.8;5.8;5.9;50.0;37.5;50.0;3.13;67.1;1.1;50.0;62.5;1.50;0.0;499;3.63;0.63;56.3;34.9;2482;3.8;1.53;1.62
DetonatioN FocusMe;S15;JP;5;40.0%;1.02;1750;-84;31:55;11.2;11.0;4.8;6.6;60.0;20.0;40.0;2.6;56.0;1.2;25.0;60.0;1.00;-0.2;-1127;1.80;0.4;50.0;32.6;2263;3.1;1.41;1.67
Dignitas;S15;;4;0.0%;0.57;1732;-277;32:29;10.8;19.0;3.5;8.8;25.0;50.0;50.0;2.0;49.2;1.5;50.0;-;0.75;-0.3;-359;3.00;0.0;0.0;32.4;2198;3.3;1.06;1.48
Disguised;S15;;5;20.0%;0.61;1701;-254;34:39;9.4;15.4;4.0;8.2;40.0;20.0;20.0;1.8;33.0;1.2;20.0;60.0;0.40;0.0;-456;3.20;0.2;20.0;33.4;2275;3.9;1.54;1.54
DN Freecs;S15;KR;9;11.1%;0.6;1706;-226;34:37;10.3;17.3;4.2;8.0;44.4;55.6;44.4;1.78;38.7;1.8;55.6;77.8;0.56;0.1;134;4.44;0.11;3.7;31.9;2380;3.5;1.39;1.44
Dplus KIA;S15;KR;10;70.0%;1.2;1895;125;36:23;15.3;12.8;7.4;4.9;30.0;60.0;30.0;2.6;50.8;0.5;40.0;20.0;1.00;0.0;553;3.50;0.8;70.0;34.4;2740;3.3;1.29;1.63
DRX;S15;KR;12;50.0%;1.0;1831;31;36:34;15.2;15.2;5.8;5.3;75.0;25.0;66.7;2.5;46.7;2.2;66.7;66.7;0.92;0.1;68;1.83;1.08;79.2;32.5;2745;3.4;1.27;1.63
